conversation_id,customer_id,tweet_id,timestamp,customer_text,cleaned_text,next_agent_response,message_position,cluster
customer_732044,732044,2583190,2017-11-16 22:17:01+00:00,@115858 why the heck do you remind us to update a bunch of times a day only for said update to crash your phone ¿¿¿,why the heck do you remind us to update a bunch of times a day only for said update to crash your phone ¿¿¿,"@732044 Not the effect we want it to have, but we're more than happy to help. Which iPhone is it that you have? Are you able to turn it back on currently?",0,16
customer_492117,492117,1917953,2017-10-26 03:53:08+00:00,@AppleSupport I have been having so much trouble with iOS 11 on my iPhone 7.,I have been having so much trouble with iOS 11 on my iPhone 7.,@492117 Thanks for reaching out to us. We are always happy to help. Send us a DM and let us know what's going on. We'll help there. https://t.co/GDrqU22YpT,0,3
customer_362820,362820,1026245,2017-10-23 01:24:27+00:00,@AppleSupport Just stuck,Just stuck,"@362820 Alright, thanks for confirming. Join us in DM, we can continue from there. https://t.co/GDrqU22YpT",4,19
customer_644959,644959,2205879,2017-11-09 17:46:04+00:00,@115858 when tf are you gonna fix this question mark shit? Smh,when tf are you gonna fix this question mark shit? Smh,"@644959 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to the latest version iOS 11.1.1. For more info, check out: https://t.co/xXaXeeSRt9",0,2
customer_250275,250275,693968,2017-11-29 06:25:43+00:00,@AppleSupport I updated my phone and I.T is still changing into I.T,I updated my phone and I.T is still changing into I.T,@250275 Updating is a great first step. Let's meet in DM for a closer look at the issue. https://t.co/GDrqU22YpT,4,16
customer_631358,631358,2148031,2017-11-09 00:26:01+00:00,"Hey, @115858. Fix this *%! idiocy with writing the first person singular. I️ looks like this. Ugh.","Hey, . Fix this *%! idiocy with writing the first person singular. I️ looks like this. Ugh.",@631358 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,0,2
customer_267301,267301,2213702,2017-11-09 22:22:30+00:00,Sick of every tweet looking like this @115858. I’ve done every recommended fix. Hard to remember to type lower case I all the time. https://t.co/Ph9oFIqahz,Sick of every tweet looking like this . I’ve done every recommended fix. Hard to remember to type lower case I all the time.,"@267301 If you're still having issues, we'd love to help. Send us a DM, and we'll go from there. https://t.co/GDrqU22YpT",2,10
customer_167177,167177,215380,2017-10-05 00:33:03+00:00,Con el iOS 11 no esta el efecto de decolorado AHORA COMO SE SUPONE QUE VOY A SUBIR FOTOS A INSTA? Quiero llorar @AppleSupport hagan algooooo,Con el iOS 11 no esta el efecto de decolorado AHORA COMO SE SUPONE QUE VOY A SUBIR FOTOS A INSTA? Quiero llorar hagan algooooo,@167177 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,0,6
customer_595273,595273,2013177,2017-11-05 05:53:47+00:00,@AppleSupport why is my phone so slow rn? 😡,why is my phone so slow rn? 😡,@595273 We’d be glad to look into that together. Can you send us a DM confirming what apps you're using when this happens? https://t.co/GDrqU22YpT,0,15
customer_437568,437568,1874975,2017-10-21 21:58:43+00:00,@AppleSupport why doesn’t my phone predict what i type? i’ve had this phone got over a year and yet it’s still being a prude. what gives?,why doesn’t my phone predict what i type? i’ve had this phone got over a year and yet it’s still being a prude. what gives?,@437568 Hi there! Check if Settings &gt; General &gt; Keyboard &gt; Predictive is on. DM us if it is and it doesn't resolve it. https://t.co/GDrqU22YpT,0,10
customer_555764,555764,2628962,2017-11-17 16:20:19+00:00,@115858 still waiting for my phone to work properly after this update.............................,still waiting for my phone to work properly after this update.............................,@555764 We'd like to help with any issues you may be experiencing. DM us and tell us more about what's happening with your iPhone. https://t.co/GDrqU22YpT,2,16
customer_160294,160294,611321,2017-11-22 04:08:34+00:00,New iPad blues: safari insists on going to the Twitter app instead of to the twitter website. I hate the Twitter app. Any advice please? My old iPad was well trained! @AppleSupport,New iPad blues: safari insists on going to the Twitter app instead of to the twitter website. I hate the Twitter app. Any advice please? My old iPad was well trained!,"@160294 We want to help you with your new iPad. Try deleting the Twitter app, and DM us if this continues: https://t.co/bNH7gNe3KE https://t.co/GDrqU2kzhr",0,1
customer_485313,485313,1771536,2017-11-08 01:11:17+00:00,"between @115858 and @115714, my phone and phone service is super janky. 🤧😡","between and , my phone and phone service is super janky. 🤧😡",@485313 Hey there. We'd like to help out. Send us a DM to continue. https://t.co/GDrqU22YpT,2,15
customer_335376,335376,907068,2017-10-21 00:06:51+00:00,Memo to @AppleSupport : how do I get my iCloud notes back on my phone?!!? https://t.co/z1mZ6xcNow,Memo to : how do I get my iCloud notes back on my phone?!!?,@335376 Let's work together to explore options! Do the notes you're expecting to see show up on https://t.co/6HMwVewHI9 from a browser?,0,5
customer_672269,672269,2319354,2017-11-07 23:03:44+00:00,Yo @115858 fix this I️ shit... Have to use 👁 now... wtf,Yo fix this I️ shit... Have to use 👁 now... wtf,@672269 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0,7
customer_764703,764703,2726969,2017-11-20 05:17:43+00:00,@AppleSupport  All these updates and  They still haven't fixed face time for the iPad pro,All these updates and They still haven't fixed face time for the iPad pro,"@764703 Let's see how we can help. Are you unable to use FaceTime on your iPad Pro? Let us know more details, and we'll partner together to find a solution.",0,16
customer_415476,415476,1261297,2017-10-26 13:47:51+00:00,@AppleSupport please fix the lock screen/music bug on iOS 11.0.3,please fix the lock screen/music bug on iOS 11.0.3,@415476 We'd like to help. Which app are you playing music with when this happens? Does this persist after rebooting your device?,0,3
customer_202526,202526,365291,2017-10-08 20:08:16+00:00,@AppleSupport some don’t even show up at all bruh,some don’t even show up at all bruh,"@202526 Have you tried powering off and restarting? If not, try that and let us know the result: https://t.co/n9BF3L9h6y",2,19
customer_573698,573698,1927716,2017-10-27 15:35:30+00:00,"@AppleSupport Also when it is charged, the sounds when you plug it in that sounds is heard during charing multiple times.
I hope you can help. Thanks!","Also when it is charged, the sounds when you plug it in that sounds is heard during charing multiple times. I hope you can help. Thanks!",@573698 We'd be glad to look into this with you as we understand the importance in your battery life. Send us a DM to continue: https://t.co/GDrqU22YpT,0,17
customer_388812,388812,1142040,2017-10-24 15:43:28+00:00,@AppleSupport is this real or a scam? Why did it come up on my iPhone? https://t.co/IuZZ3pJB3Y,is this real or a scam? Why did it come up on my iPhone?,@388812 This looks like a phishing pop-up. Direct Message us and we can help out. https://t.co/GDrqU22YpT,0,13
customer_740291,740291,2619770,2017-11-17 17:30:28+00:00,@AppleSupport 11.1.2 currently.,11.1.2 currently.,"@740291 Thanks for the info. Just to make sure we're on the same page, you are trying to share links, photos and other data with friends with the share button or are you forwarding via email?",2,3
customer_304391,304391,771975,2017-10-12 00:37:01+00:00,@AppleSupport Yes. No different. Horrendous battery life.,Yes. No different. Horrendous battery life.,@304391 We'd like to take a closer look to see how we can help. What kind of behavior have you noticed with the battery? DM us here: https://t.co/GDrqU22YpT,2,17
customer_449199,449199,1416476,2017-11-02 02:23:44+00:00,@115858 wtf is going on with “I️” autocorrecting to A ?,wtf is going on with “I️” autocorrecting to A ?,@449199 Let's look into this for you. Send us a DM with your current iOS version to get started. https://t.co/GDrqU22YpT,0,18
customer_397679,397679,1180666,2017-10-24 21:52:06+00:00,"it's my imessage, it won't let me log in. help @AppleSupport","it's my imessage, it won't let me log in. help","@397679 We want to help. What happens when you try to sign in? Receiving any error messages? Also, which iOS version do you have installed?",0,12
customer_625827,625827,2346042,2017-11-13 14:23:56+00:00,"I’m so pissed @115858 why is my phone turning off every 10 seconds... On 80% and turn it back on and it stays at 10% on the charger. I missed a double rainbow, can’t stay clocked in on my work app. Please fix this shit.","I’m so pissed why is my phone turning off every 10 seconds... On 80% and turn it back on and it stays at 10% on the charger. I missed a double rainbow, can’t stay clocked in on my work app. Please fix this shit.","@625827 We want to assure you this is definitely not the kind of experience we want for you to have. Updating to iOS 11.1.1, after first backing up the iPhone, is definitely the best first step to take. If the issues persist afterwards, let us know and we can help.",2,17
customer_444192,444192,1394006,2017-10-16 18:02:46+00:00,@AppleSupport Yes,Yes,@444192 Are you using an Apple-Certified cable? Does the issue persist when using another Apple cable?,6,19
customer_743464,743464,2633097,2017-11-17 18:11:21+00:00,@115858 @115858 PLEASE JUST FIX THIS SHIT IS ACTUALLY DRIVING ME CRAZY THANK YOU VERY MUCH,PLEASE JUST FIX THIS SHIT IS ACTUALLY DRIVING ME CRAZY THANK YOU VERY MUCH,@743464 We're here for you and happy to help. Can you tell us what's happening specifically?,0,7
customer_481878,481878,1559338,2017-11-04 03:00:33+00:00,I’m gonna stop tweeting until @115858 fixes the “I️”.,I’m gonna stop tweeting until fixes the “I️”.,"@481878 Thanks for reaching out, this article can help: https://t.co/tTi2caaemt",0,18
customer_359329,359329,1011521,2017-10-22 20:23:51+00:00,All good and well sending me a code to start a chat with @AppleSupport but my phone is disbaled so i can't see it!! Help please!,All good and well sending me a code to start a chat with but my phone is disbaled so i can't see it!! Help please!,"@359329 We want to help you. DM us, and we'll let us know what you see on the screen. We'll try to assist. https://t.co/GDrqU22YpT",0,12
customer_692159,692159,2406731,2017-11-14 16:34:56+00:00,"@AppleSupport So after I've installed the Sierra high, I can't get into Machintosh HAD, because of the error, I've sent you a screenshot in a previous message","So after I've installed the Sierra high, I can't get into Machintosh HAD, because of the error, I've sent you a screenshot in a previous message","@692159 Thanks for that information. Which exact version of macOS High Sierra is the Mac running? Let us know in DM, and we'll continue from there. https://t.co/GDrqU22YpT",2,11
customer_628066,628066,2134802,2017-11-08 15:11:32+00:00,"@115858 Since the latest update, when I insert a dash — into a text, whatever follows the dash gies undelivered. #Frustrating #PleaseFixThis","Since the latest update, when I insert a dash — into a text, whatever follows the dash gies undelivered. #Frustrating #PleaseFixThis",@628066 Which device is this occurring on? DM us the details and we'll work from there. https://t.co/GDrqU22YpT,0,10
customer_664868,664868,2288490,2017-11-12 11:16:09+00:00,"@AppleSupport Thank you for replying! It started when I updated iOS from 10.3.3 to 11.1.  Updating it to 11.1.1 did not solve the problem. Besides, I also noticed that my iPhone SE was very hot when I updated it to 11.1.  It happened again while updating to 11.1.1. Never had happened before.","Thank you for replying! It started when I updated iOS from 10.3.3 to 11.1. Updating it to 11.1.1 did not solve the problem. Besides, I also noticed that my iPhone SE was very hot when I updated it to 11.1. It happened again while updating to 11.1.1. Never had happened before.",@664868 DM us the country you're currently located here: https://t.co/GDrqU22YpT,2,14
customer_448112,448112,1411722,2017-10-28 21:18:52+00:00,"@AppleSupport I have plenty of storage space with a good internet connection, and i also retried installing the update. Once again, DMs are open, Thanks!","I have plenty of storage space with a good internet connection, and i also retried installing the update. Once again, DMs are open, Thanks!","@448112 Thanks for keeping us posted. Please send us a DM, we'll continue with this there. https://t.co/GDrqU22YpT",2,16
customer_298753,298753,747783,2017-10-11 16:24:42+00:00,@AppleSupport Unfortunately this is real.,Unfortunately this is real.,@298753 We certainly want to help you sort out the keyboard! Please send us a DM to look into this together. https://t.co/GDrqU22YpT,0,13
customer_609317,609317,2060170,2017-10-07 10:03:59+00:00,@AppleSupport This new update on my iPhone has really slowed my phone down and causes it to keep freezing 😡,This new update on my iPhone has really slowed my phone down and causes it to keep freezing 😡,@609317 We'd like to help get your phone back to working as it should. Let's continue talking in DM by clicking here: https://t.co/GDrqU22YpT,0,14
customer_327144,327144,872527,2017-10-13 15:05:44+00:00,@327145 @115858 It’s so ridiculous isn’t it! My phone keeps crashing 😫 bloody shit update! 🙅🏻,It’s so ridiculous isn’t it! My phone keeps crashing 😫 bloody shit update! 🙅🏻,@327144 Which device are you using? Please let us know in DM and we’ll go from there. https://t.co/GDrqU22YpT,0,16
customer_751610,751610,2668300,2017-11-19 10:17:44+00:00,@AppleSupport That’s one of the most dumb things I’ve ever heard. Do not disturb and SILENT and Siri still talks wtf,That’s one of the most dumb things I’ve ever heard. Do not disturb and SILENT and Siri still talks wtf,@751610 It's possible to adjust Siri's volume by pressing the volume buttons on the side when the Siri assistant is on screen. Here's a guide with more information: https://t.co/lX49TJQaTL,8,12
customer_577252,577252,1941059,2017-10-29 22:07:26+00:00,So the fancydancy new 11.0.3 update has made my apple pay useless and left my battery addicted to the cord..⚡️⚡️hey 👋 @115858 whatsupp???,So the fancydancy new 11.0.3 update has made my apple pay useless and left my battery addicted to the cord..⚡️⚡️hey 👋 whatsupp???,"@577252 We want to help! What model of iPhone is this? From a full charge, how many hours does your battery last for you each day? https://t.co/GDrqU22YpT",0,9
customer_234531,234531,2320648,2017-11-13 04:57:07+00:00,@AppleSupport Is there an update on the macOS Messages delay? It’s been present for months. Very frustrating. https://t.co/KzwwAVO3dE,Is there an update on the macOS Messages delay? It’s been present for months. Very frustrating.,"@234531 We'd be happy to look into what's causing that message delay. To start, can you tell us which Mac and macOS version you're using?",0,12
customer_288355,288355,704513,2017-10-06 01:52:50+00:00,@115858 iOS11 is draining my battery at an unbelievable rate. Please fix it,iOS11 is draining my battery at an unbelievable rate. Please fix it,@288355 We can help. DM us and we'll work from there. https://t.co/GDrqU22YpT,0,9
customer_466535,466535,1492228,2017-11-04 18:18:11+00:00,@AppleSupport I’d like to know why my Bluetooth turns itself on by its on after the last iOS update,I’d like to know why my Bluetooth turns itself on by its on after the last iOS update,@466535 We'd like to help.  Do you turn Bluetooth off using the Control Center or in the Settings app?,2,16
customer_519341,519341,1714794,2017-11-07 02:20:02+00:00,Hey @AppleSupport y’all tripping with the letter “ I️ “ please fix ASAP please &amp; thank you. 🙃😬,Hey y’all tripping with the letter “ I️ “ please fix ASAP please &amp; thank you. 🙃😬,@519341 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0,18
customer_684667,684667,2373250,2017-11-14 01:10:51+00:00,@AppleSupport upgraded to iOS11 on an iPhone 6 and now whenever I use the camera app the screen shakes....... what's up with that.,upgraded to iOS11 on an iPhone 6 and now whenever I use the camera app the screen shakes....... what's up with that.,"@684667 We'd like to look into why this is happening with your iPhone's camera. To verify, does this happen with both front and rear cameras? Does restarting help at all?",0,3
customer_631631,631631,2149129,2017-11-09 00:25:39+00:00,WHERE IS THE DAMN UPDATE THIS I️ SHIT IS ANNOYING @115858,WHERE IS THE DAMN UPDATE THIS I️ SHIT IS ANNOYING,@631631 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0,2
customer_693679,693679,613014,2017-11-16 21:34:50+00:00,"@AppleSupport Since I️ updated my iPhone, it starts to lag when it turns off, also when I️ turn it back on the Apple logo blinks, and battery dies.","Since I️ updated my iPhone, it starts to lag when it turns off, also when I️ turn it back on the Apple logo blinks, and battery dies.",@693679 We can help you. Send us a DM with more details on what apps you're using when this happens. https://t.co/GDrqU2kzhr,0,14
customer_564325,564325,1892656,2017-10-30 22:35:58+00:00,@564326 same. battery life decreased after updating + phone keeps haNGING???? @115858 wYD,same. battery life decreased after updating + phone keeps haNGING???? wYD,"@564325 You're in the right place for help. To get us started with troubleshooting, what iOS version is currently on the iPhone?",0,9
customer_326139,326139,2093759,2017-11-08 03:08:17+00:00,"it’s been days, a few updates and @115858 can’t figure out how to fix this keyboard glitch.. you have me talking third person in work emails:

“melissa wanted to get an update on this project....”","it’s been days, a few updates and can’t figure out how to fix this keyboard glitch.. you have me talking third person in work emails: “melissa wanted to get an update on this project....”",@326139 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,4,10
customer_722329,722329,2540091,2017-11-01 08:48:07+00:00,@115858 @AppleSupport still no fix for the WiFi dropping on iOS 11.1 🤬🤬🤬🤬,still no fix for the WiFi dropping on iOS 11.1 🤬🤬🤬🤬,"@722329 We'd like to see how we can help. To get started, DM us the device you're experiencing this on. We'll meet you there. https://t.co/GDrqU22YpT",0,3
customer_126088,126088,45566,2017-11-01 22:02:01+00:00,"@AppleSupport I have iOS 11.1, updated today. I can send to you screen recording, so you could see that bug.","I have iOS 11.1, updated today. I can send to you screen recording, so you could see that bug.",@126088 That would be great. Send that to us in DM. Keep us posted and we can pick up from there. https://t.co/GDrqU22YpT,4,3
customer_393958,393958,1164643,2017-10-24 21:00:51+00:00,@AppleSupport ever since the latest iOS update my iPhone 7 repeatedly crashes/freezes &amp; there’s no sound on phone calls. Will this be fixed?,ever since the latest iOS update my iPhone 7 repeatedly crashes/freezes &amp; there’s no sound on phone calls. Will this be fixed?,"@393958 Meet us in DM, then we can dig in to this issue with you there and get you taken care of. https://t.co/GDrqU22YpT",0,14
customer_628079,628079,2134831,2017-11-08 16:03:26+00:00,@AppleSupport fix this i️ shit before i️ switch to a g@laxy bro,fix this i️ shit before i️ switch to a g bro,@628079 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0,2
customer_753991,753991,2679770,2017-10-31 15:05:27+00:00,As soon as i pay my phone off it starts to freeze every 5 minutes @AppleSupport y’all ain’t slick,As soon as i pay my phone off it starts to freeze every 5 minutes y’all ain’t slick,@753991 We'd like to look into this with you. What iPhone model and iOS version are you using?,0,14
customer_172398,172398,236821,2017-10-05 09:54:27+00:00,How can I download macOS Sierra installer? @AppleSupport @115858,How can I download macOS Sierra installer?,@172398 Hey there. We're happy to help. Check out this article: https://t.co/2Fe5rx2wSL,0,11
customer_417255,417255,1269570,2017-10-26 23:06:20+00:00,@AppleSupport In Control Centre and at the top of the screen next to the battery percentage. And it does it twice a day at least...👎🏻,In Control Centre and at the top of the screen next to the battery percentage. And it does it twice a day at least...👎🏻,@417255 Let's have a look at this together. Can you please DM us? https://t.co/GDrqU2kzhr,2,17
customer_164785,164785,205928,2017-11-06 03:46:36+00:00,Can you tell me what this error is and how to fix it??? @AppleSupport like why are we trying to turn “I️” into hieroglyphics??? https://t.co/GvxRGKAYy8,Can you tell me what this error is and how to fix it??? like why are we trying to turn “I️” into hieroglyphics???,@164785 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0,18
customer_606907,606907,2052189,2017-10-05 22:08:31+00:00,@AppleSupport your update is ruining my nice new iPhone. Sort it out please.,your update is ruining my nice new iPhone. Sort it out please.,"@606907 We’d love to help with your new iPhone. To start, please send us a DM with more details on the behavior you’re experiencing. https://t.co/GDrqU22YpT",0,16
customer_290285,290285,712061,2017-10-10 21:17:02+00:00,@115858 Please fix the battery issue. The last updates are killing my battery. Thnx.,Please fix the battery issue. The last updates are killing my battery. Thnx.,@290285 DM us using the link below. We're glad to work with you from there. https://t.co/GDrqU22YpT,0,9
customer_706313,706313,2468879,2017-11-06 17:43:31+00:00,Fix this please @AppleSupport https://t.co/rPLEq8I2En,Fix this please,@706313 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/evcqP6KgPj,0,7
customer_631888,631888,2150022,2017-11-09 00:42:44+00:00,@631889 @115858 Thought this shit was only happening to me 😂,Thought this shit was only happening to me 😂,"@631888 
Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9",0,2
customer_249918,249918,556174,2017-12-02 18:41:27+00:00,@AppleSupport @115858 your iOS 11.2 just screwed my phone. Can’t even factory reset because it won’t connect to iCloud. DON’T update your devices to this new piece of shite! Phone is getting really hot and draining battery fast!,your iOS 11.2 just screwed my phone. Can’t even factory reset because it won’t connect to iCloud. DON’T update your devices to this new piece of shite! Phone is getting really hot and draining battery fast!,@249918 We're happy to help. What happens when you try to connect to iCloud? Are you getting an error message? Are you currently connected to your home Wi-Fi network?,0,8
customer_311679,311679,804358,2017-10-08 03:05:44+00:00,So disappointed with the service I've received and the product itself that I think I might give up @115858 and @115725 forever after this.,So disappointed with the service I've received and the product itself that I think I might give up and forever after this.,@311679 We want to help you out. Would you tell us a bit more about what's going on via DM? https://t.co/GDrqU22YpT,0,19
customer_526654,526654,1746926,2017-11-07 08:40:12+00:00,#ios11.2 #apple @AppleSupport enough with this popup message 🤒🤬 https://t.co/5HX4yekXFE,#ios11.2 #apple enough with this popup message 🤒🤬,"@526654 We can figure this out. Meet us in DM with your iPhone model, please. https://t.co/GDrqU22YpT",0,3
customer_322963,322963,854584,2017-10-20 14:29:52+00:00,"@AppleSupport The most recent, update it as soon as it comes through","The most recent, update it as soon as it comes through",@322963 Thanks. We'll need a bit more space than 140 characters to dig into this issue. Join us in DM? https://t.co/GDrqU22YpT,2,16
customer_570572,570572,1915556,2017-10-26 00:52:00+00:00,@AppleSupport How am I to run my business with no phone thanks for nothing,How am I to run my business with no phone thanks for nothing,@570572 We would love to help you resolve the problem you're having. Please DM which country you're in so we can look up your options. https://t.co/GDrqU22YpT,0,15
customer_791520,791520,2845678,2017-11-27 17:54:10+00:00,"I got something stuck in my headphone jack of my iPhone 6S Plus. Maybe they were right. Maybe if I didn’t have a headphone jack, this would have never happened.

It sucks though, I can’t listen to @38201 while I walk around and do other things. Help me @AppleSupport https://t.co/mWZ5rgFIyt","I got something stuck in my headphone jack of my iPhone 6S Plus. Maybe they were right. Maybe if I didn’t have a headphone jack, this would have never happened. It sucks though, I can’t listen to while I walk around and do other things. Help me",@791520 No worries. We're here to help. Send us a DM and we'll start looking at your options together. https://t.co/GDrqU22YpT,0,4
customer_731059,731059,2578671,2017-11-16 20:44:15+00:00,"So my new iPhone has a nifty camera but it doesn't actually work as a phone--reception for calls, texts is absolute crap. WTF, @115858?","So my new iPhone has a nifty camera but it doesn't actually work as a phone--reception for calls, texts is absolute crap. WTF, ?",@731059 We are here to help. Is this issue in all locations or just certain ones?,0,8
customer_511677,511677,1683407,2017-11-06 15:53:33+00:00,@115858 why did the letter I️ start acting up ever since the update 🖕🏼🖕🏼🖕🏼 hope I’m not the only one 🤦🏻‍♀️,why did the letter I️ start acting up ever since the update 🖕🏼🖕🏼🖕🏼 hope I’m not the only one 🤦🏻‍♀️,@511677 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0,10
customer_216649,216649,427389,2017-10-17 16:17:00+00:00,@AppleSupport EVERYTHING. My battery dies stupid fast and my phone is laggy AF... don’t make me switch to Android 😒,EVERYTHING. My battery dies stupid fast and my phone is laggy AF... don’t make me switch to Android 😒,@216649 DM us details on the apps you're using when you see the lag and we'll continue support with you there. https://t.co/GDrqU22YpT,2,15
customer_471980,471980,1517070,2017-11-03 13:50:06+00:00,IM MAD @AppleSupport why do y’all keep replacing my I️ with this other stuff?? Please FIX IT ASAP,IM MAD why do y’all keep replacing my I️ with this other stuff?? Please FIX IT ASAP,@471980 Thanks for contacting us. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,0,18
customer_427257,427257,2113868,2017-11-08 14:28:36+00:00,@AppleSupport is VPP store down? Can't search for any apps.,is VPP store down? Can't search for any apps.,@427257 We're here to help! Tell us a little more about what is going on in a DM and we'll continue there. https://t.co/GDrqU22YpT,0,5
customer_153197,153197,161243,2017-11-24 18:41:37+00:00,"When are @115858 going to update reminders, so it doesn’t keep losing reminder alarms you’ve set? It’s been doing it for ages now, makes it useless.  https://t.co/NvPlZTcEDP","When are going to update reminders, so it doesn’t keep losing reminder alarms you’ve set? It’s been doing it for ages now, makes it useless.",@153197 We understand how important reminders can be and want to help. Which device are you using? Does this happen with all Reminders?,4,12
customer_530430,530430,2727137,2017-10-31 18:07:47+00:00,Tryna figure out why I cancelled my Apple Music subscription last month and still got charged for it and CANT even listen to it! @115858,Tryna figure out why I cancelled my Apple Music subscription last month and still got charged for it and CANT even listen to it!,"@530430 Let's get you pointed in the right direction, for support with purchases and refunds, reach out here: https://t.co/SDIe7UiyJN",0,5
customer_597848,597848,2021493,2017-11-06 01:56:14+00:00,"Hey @115858, fix this “I️” problem cause you look like a fool.","Hey , fix this “I️” problem cause you look like a fool.",@597848 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,0,18
customer_536612,536612,1786033,2017-10-11 13:59:24+00:00,"@AppleSupport @115858 purchased a jet black iphone 7, 7 days ago. Very disappointed. What’s with the poor sound quality during phone calls? 😭","purchased a jet black iphone 7, 7 days ago. Very disappointed. What’s with the poor sound quality during phone calls? 😭","@536612 That's not an issue you should experience, select the following link to join us in a DM and let us know the iOS version. https://t.co/GDrqU22YpT",0,15
customer_412637,412637,1503999,2017-11-03 16:23:39+00:00,"@AppleSupport Right, thanks.","Right, thanks.",@412637 You're welcome.,8,19
customer_748088,748088,2652600,2017-11-19 02:43:37+00:00,@AppleSupport Can y’all fix that problem,Can y’all fix that problem,@748088 You can download on a computer running iTunes and sync the media over. This page should help: https://t.co/048FvsiWf8 DM us if you run into any issues. https://t.co/GDrqU22YpT,2,7
