example_id,customer_text,gold_intent,model_intent,model_action,intent_confidence,top_similarity,evidence_level,model_reply,historical_response,quality_score,non_empty,professional,helpful_request,intent_grounded,escalation_appropriate,historical_grounding,no_unsupported_claims
gold_011,@386409 @115858 I installed something and now my Twitter isn’t working properly. Every time I turn it on it goes back about 8 hours. I’m missing stuff!,apps_services,connectivity_calls,escalate,0.1777,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@142528 We'd like to look into this further. Please click here to join us in DM: https://t.co/GDrqU22YpT,0.8571428571428571,True,True,True,False,True,True,True
gold_012,@AppleSupport why is this popping up every 2 minutes when I don’t send text messages 🙃 https://t.co/T6DP5EC5aY,messaging,messaging,escalate,0.9664,0.2709,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@362199 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0.7142857142857143,True,True,True,False,True,False,True
gold_013,iOS 11 has destroyed the speed and battery life on my iPhone 6 and 5s. This sucks big time! @115858 @AppleSupport,battery_charging,battery_charging,escalate,0.9049,0.3354,moderate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@349954 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.,0.7142857142857143,True,True,True,False,True,False,True
gold_014,@115858 y’all can put that entire trash ass U2 album on my phone against my will but y’all can’t fix this I* glitch immediately ??,keyboard_input,hardware_device,escalate,0.1908,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@237300 We recently released iOS 11.1.1 to address this issue. If you haven't had the opportunity, let's update following the steps here: https://t.co/8xihd9VRBM Please DM us if the issue continues after updating. https://t.co/GDrqU22YpT",0.8571428571428571,True,True,True,True,True,False,True
gold_015,"@AppleSupport No, still has same problem after I swiped application off and restart. iOS 11.1.1 the latest update. Problem is on and off, sometimes works, sometimes doesn’t. https://t.co/0waBSCRpmW",software_update,software_update,auto_handle,0.9052,1.0,strong,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,@682279 DM us using the link below. We'll work together from there. https://t.co/GDrqU22YpT,0.8571428571428571,True,True,True,True,True,False,True
gold_016,@115858 me estáis valiando o q ?? entre q el ios11 gasta más batería q yo q sé y q no lo arregláis.. estamos apañados 😡😐 cracks,battery_charging,software_update,escalate,0.5977,0.235,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@269675 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,0.7142857142857143,True,True,True,False,True,False,True
gold_017,"Help me Apple!!!!!  

Every time I go onto a app the app crashes is there anyway to fix this? @AppleSupport",apps_services,hardware_device,escalate,0.4731,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@231625 We'd love to help. Can you DM us your complete software version from Settings &gt; General &gt; About, next to version? https://t.co/GDrqU22YpT",0.8571428571428571,True,True,True,True,True,False,True
gold_018,@115858 fix my fucking phone bro i updated it to the latest software &amp; its still tweakin,software_update,software_update,escalate,0.7564,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@497274 We'd love to help! This article goes over a workaround for this issue: https://t.co/xXaXeeSRt9,0.7142857142857143,True,True,True,False,True,False,True
gold_019,@AppleSupport I did restart after I sent this and it fixed it. Will inform Apple if I have the problem again. Thank you.,other,hardware_device,escalate,0.5247,0.2566,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@725022 We are happy to hear it's fixed. Please feel free to reach out if you need us in the future.,0.8571428571428571,True,True,True,True,True,False,True
gold_020,@AppleSupport Being told my iCloud storage may be downgraded but card payment processing is temporarily down and I can’t re-confirm my card.,purchases_billing,account_icloud,escalate,0.7747,0.2294,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@585429 On Family Sharing, what you buy is charged to the organizer's card, unless you have store credit. More here: https://t.co/dmLzCj6kTP",0.7142857142857143,True,True,True,False,True,False,True
gold_021,"What the hell is wrong with iPhone batteries now?! Unplugged it at 6.00, 45 minutes later I pick it up and battery is 65%. Haven’t even used it! Is this @115858 ‘s way of getting me to buy an X?",battery_charging,battery_charging,escalate,0.5344,0.2803,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@646732 That's an unexpected behavior. Let's dive into this issue together. Send us a DM and we'll get started. https://t.co/GDrqU22YpT,0.7142857142857143,True,True,True,False,True,False,True
gold_022,"@115858 purchased your fancy new phone on the first day, and now can’t type the letter “eye” in texts or emails...please fix ASAP!!!!",keyboard_input,purchases_billing,escalate,0.587,0.3124,moderate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@464524 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,1.0,True,True,True,True,True,True,True
gold_023,@115858 @AppleSupport I️ want you to fix my I️ phone so I️ can write things with my Installed keyboard that make sense.,keyboard_input,keyboard_input,escalate,0.6399,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@249053 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",0.7142857142857143,True,True,True,False,True,False,True
gold_024,My phone is TRIPPEN! @115858 we about to fight.,other,software_update,escalate,0.187,0.4055,moderate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@299768 We'd like to understand more about this. DM us which country you're in, and we'll take a look. https://t.co/GDrqU22YpT",0.8571428571428571,True,True,True,False,True,True,True
gold_025,@AppleSupport please fix the lock screen/music bug on iOS 11.0.3,apps_services,hardware_device,escalate,0.5476,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@415476 We'd like to help. Which app are you playing music with when this happens? Does this persist after rebooting your device?,0.8571428571428571,True,True,True,True,True,False,True
gold_026,Day 70 something of apples terrible freezing IOS11 software and today I can’t even tell the time. #dontbuyapple @AppleSupport @115858 https://t.co/mhIe29ATnH,software_update,software_update,escalate,0.5272,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@416680 We'd like to look into this with you. Could you join us in DM with more info? https://t.co/GDrqU22YpT,0.8571428571428571,True,True,True,False,True,True,True
gold_027,Hey @115858 iPhone gurus. Is there ANY way to get rid of this stupid screen when my phone goes sideways? It's absolutely useless. https://t.co/i0tlyj0oGv,keyboard_input,hardware_device,escalate,0.2471,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@509555 Hey there! Do you see the keyboard icon in the bottom right corner? If you select that, you'll have a horizontal keyboard again.",0.8571428571428571,True,True,True,True,True,False,True
gold_028,Dose anyone know why my iPhone is doing this? @115858 @AppleSupport https://t.co/aNEmQfHeHQ,hardware_device,hardware_device,escalate,0.5558,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@475065 Help is on the way. Send us a DM to get started. https://t.co/GDrqU22YpT,0.8571428571428571,True,True,True,True,True,False,True
gold_029,"@AppleSupport Hello, I need to set up a reminder in my calendar but I’m not able to push the + button. Not sure how to fix it. Thanks https://t.co/u8kmzYjldJ",apps_services,hardware_device,escalate,0.4822,0.3018,moderate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@488463 We've got your DM and will continue with you there. Be on the lookout for our reply. Thanks!,0.8571428571428571,True,True,True,True,True,False,True
gold_030,@AppleSupport I get duplicated messages from non apple iPhone users. Why?,messaging,messaging,escalate,0.9053,0.2416,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@293275 OK. This means that they have not updated their phones to the most recent version of iOS.,0.7142857142857143,True,True,True,False,True,False,True
gold_031,Hey @AppleSupport my Messages App crushes every time when I want to open it. I tried everything. I’ve reboot my iPhone 5S and i have the latest iOS. What should i do?,messaging,messaging,escalate,0.7953,0.2726,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@186353 No worries, we've got your back. Please DM us and we'll continue to assist you from there. https://t.co/GDrqU22YpT",0.7142857142857143,True,True,True,False,True,False,True
gold_032,@AppleSupport i updated the latest version a few days ago. https://t.co/dgKAnoODU5,software_update,software_update,escalate,0.6709,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@701601 Thanks. Send us a DM, and we’ll take a closer look into this. https://t.co/GDrqU22YpT",0.8571428571428571,True,True,True,False,True,True,True
gold_033,@AppleSupport What the heck? Type it and it forces “I.T”. Did your QA team take the last two releases off?,keyboard_input,hardware_device,escalate,0.3229,0.3157,moderate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@592755 Thanks for contacting us today. Check out our article here: https://t.co/xU1AGHStV6 DM us any other questions. https://t.co/GDrqU22YpT,0.8571428571428571,True,True,True,True,True,False,True
gold_034,@AppleSupport Yes lt does. Stil there after reboot and hard reset,other,hardware_device,escalate,0.5118,0.2563,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@212459 Have you tried a second charging cable or power block? That'll help us isolate this down even further.,0.8571428571428571,True,True,True,True,True,False,True
gold_035,#Apple #iOS11 riddled with bugs! What happened @115858 ?? Where’s the quality product loyal customers expected of you??,software_update,software_update,escalate,0.4673,0.0,none,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,,0.7142857142857143,True,True,True,False,True,False,True
gold_036,@AppleSupport It is yeah and I can't use it it's just completely stopped working,hardware_device,hardware_device,escalate,0.4551,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@313803 Thanks. Could you let us know the iPhone, and exact iOS version you are running? You can see at Settings &gt; General &gt; About.",0.8571428571428571,True,True,True,True,True,False,True
gold_037,"Dear @118936 and @AppleSupport , our listeners cannot leave 5-star comments on Itunes for supporting our podcast (Ekipio - podcast). Any idea ?
 #ekipiogate",purchases_billing,hardware_device,escalate,0.3086,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@622451 We'd like to take a deeper look into this with you. Go ahead and DM us and we'll be glad to follow up with you there. https://t.co/GDrqU22YpT,1.0,True,True,True,True,True,True,True
gold_038,I HATE my fucking @115858 iphone! locked out. too many accounts and passwords and passcodes.  Never had to put passed in phone before this 1,account_icloud,account_icloud,escalate,0.4423,0.0,none,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,,0.7142857142857143,True,True,True,False,True,False,True
gold_039,pop up volume box when we are scrolling down into the list of playing next and can't see the one from the top with the now playing @115858,apps_services,hardware_device,escalate,0.1632,0.2708,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@550723 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,1.0,True,True,True,True,True,True,True
gold_040,@AppleSupport 6S Plus. Same thing happened during betas and I reported it too. I have to restart my phone every time,apps_services,hardware_device,escalate,0.5104,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@185487 Thanks. Does this only seem to happen while in the Clock app or are you noticing it in other apps as well?,0.8571428571428571,True,True,True,True,True,False,True
gold_041,Hey @115858 ever since I’ve downloaded iOS 11 my alarms have not gone off several times help,apps_services,software_update,escalate,0.7936,0.3829,moderate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@613156 We're here to help with any issues you maybe having. Provide a description of the issue to us in a DM using this link: https://t.co/GDrqU22YpT,0.7142857142857143,True,True,True,False,True,False,True
gold_042,"30s of white Apple..... 
@AppleSupport @115858 my 6s turned to a brick, is it a signal for me to change to #iphoneX? https://t.co/QuIGK6LSZB",hardware_device,connectivity_calls,escalate,0.1795,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@672972 We can understand wanting your iPhone to turn on so you can actually use it. Let’s start with the troubleshooting listed here: https://t.co/8MvHMFZ83h DM us if you’re still having issues after completing the steps. https://t.co/GDrqU22YpT,0.7142857142857143,True,True,True,False,True,False,True
gold_043,"@AppleSupport I’m getting video freezes on my @917 and @126972 videos on my iPhone 7 Plus.  It freezes with audio continuing, then video either catches up or is running behind the audio.  Very frustrating !!",apps_services,hardware_device,escalate,0.2984,0.2179,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@710057 We can certainty partner with you to figure this out. Since your iPhone is running the latest iOS version, we also want to make sure YouTube is up-to-date as a first step.",0.8571428571428571,True,True,True,True,True,False,True
gold_044,@264963 @264964 @AppleSupport Me vuelve loca. Y quiero mi batería. Y volver al 10 😡,software_update,hardware_device,escalate,0.4462,0.2505,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@682691 We'd be happy to look into this. To confirm, you have updated to iOS 11.1.1 but are still experiencing autocorrect issues, correct? Please DM us here: https://t.co/GDrqU22YpT",1.0,True,True,True,True,True,True,True
gold_045,"@AppleSupport hello.
since the last update I can’t connect my Marshall music device to bluetooth. Can you help me? Thanks",connectivity_calls,connectivity_calls,escalate,0.4117,0.3484,moderate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@703147 Of course, how can we help you?",0.7142857142857143,True,True,True,False,True,False,True
gold_046,@AppleSupport #iphoneproblems In the 14/9 store  on my genius bar appt. iphone 6s started freezing and acting wacky. Too soon to upgrade,hardware_device,repair_support,escalate,0.9288,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@249514 Let's take a look into what's going on with your iPhone. DM us your country to continue. https://t.co/GDrqU22YpT,0.8571428571428571,True,True,True,True,True,False,True
gold_047,"@AppleSupport I’m talking about the apps inside app store. Before iOS 11, there was a list of them",apps_services,software_update,escalate,0.4612,0.2289,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@513224 Let's continue within DM here: https://t.co/GDrqU22YpT,0.7142857142857143,True,True,True,False,True,False,True
gold_048,@AppleSupport what is this we’ve reserved a phone for you message when is my ship date,purchases_billing,messaging,escalate,0.5792,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@573083 We'd be happy to look into this with you. Please DM us more details on where you're receiving this message. We'll help there. https://t.co/GDrqU22YpT,0.8571428571428571,True,True,True,False,True,True,True
gold_049,"@AppleSupport @18274 It even has the boxed “E” for explicit... and all they’ve said is that they cannot give me a refund. I don’t want a refund, I want to listen to the song I purchased. https://t.co/CfWeAe63Nv",purchases_billing,purchases_billing,escalate,0.9708,0.2024,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@464190 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,1.0,True,True,True,True,True,True,True
gold_050,Really need @AppleSupport right now. So bloody confused about my family Apple Music accounts. Need help,apps_services,account_icloud,escalate,0.3519,0.25,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@516534 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0.7142857142857143,True,True,True,False,True,False,True
gold_051,"Mas olha, não aguento mais meu celular vibrando toda vez que atualiza os e-mails em segundo plano, alô @AppleSupport como desativa isso?",apps_services,hardware_device,escalate,0.5124,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@782406 Since our Twitter support is available in English, get help at https://t.co/IBIY3w3RGR or join https://t.co/pvaOFg6Mb1",0.8571428571428571,True,True,True,True,True,False,True
gold_052,Can @115858 fix this thing I️ I️ I️ I️ I️ It’s extremely annoying,keyboard_input,hardware_device,escalate,0.2967,0.3787,moderate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@467503 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0.8571428571428571,True,True,True,True,True,False,True
gold_053,"Qué onda con este teléfono ?? Se volvió loco. Pone música cuando quiere, se abre Siri, cambia música sola. Etc...@AppleSupport #Iphone7Plus https://t.co/G57OvBodX5",hardware_device,hardware_device,escalate,0.5716,0.2733,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@769287 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,0.8571428571428571,True,True,True,True,True,False,True
gold_054,"@693538 @115858 I️ did buy it!! It won’t download on my phone, computer worked fine. So irritating.",purchases_billing,hardware_device,escalate,0.1833,0.3371,moderate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@554294 check out the steps in this article for things to try when you're having issues updating: https://t.co/Ui1yTo6dM7,0.8571428571428571,True,True,True,True,True,False,True
gold_055,Really disappointed with the battery life of the new software update on my iPhone 6 @115858 #ios11,battery_charging,software_update,escalate,0.5718,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@668741 We understand that having a long-lasting battery is vital. Please navigate to Settings &gt; General &gt; About , DM us to let us know which version you are using. We’ll go from there. https://t.co/GDrqU22YpT",0.7142857142857143,True,True,True,False,True,False,True
gold_056,@AppleSupport I factory rested it rested but it did nothing,hardware_device,hardware_device,escalate,0.5948,0.3982,moderate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@261801 Thanks for trying that out. Have you already attempted to select the option to decline setup for Apple Pay?,0.8571428571428571,True,True,True,True,True,False,True
gold_057,"@AppleSupport hope you will remove the lag from the last update ! 
We can’t even write a text without lagging #appleupdatelag",software_update,software_update,escalate,0.4222,0.2188,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@518700 We received your DM. Be on the lookout for our response there.,0.7142857142857143,True,True,True,False,True,False,True
gold_058,"Good call on the software update @115858 ....I’m barely able to send this disgruntled tweet because my phone is shot, thanks",software_update,software_update,escalate,0.5834,0.2273,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@304388 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,0.8571428571428571,True,True,True,False,True,True,True
gold_059,@115858 Bro i can’t even spell “it” like I.T keeps coming up . I txt too fast to check that shit every time,keyboard_input,hardware_device,escalate,0.1557,0.2843,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@669379 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",0.8571428571428571,True,True,True,True,True,False,True
gold_060,"Restarted iPhone as was lagging, now I only have 14 photos and videos.... 🧐 @AppleSupport there is a big bug with iso11 where are my 10k + photos and videos??? 😒😒 https://t.co/whj2s8hxpv",apps_services,apps_services,escalate,0.5068,0.297,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@411966 Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,1.0,True,True,True,True,True,True,True
gold_061,"Dear @115858, I ABHOR the iPhone 8. It sucks. 43% by 1:20 pm. That is all. #iphone #apple #iphone8",battery_charging,software_update,escalate,0.1708,0.0,none,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,,0.7142857142857143,True,True,True,False,True,False,True
gold_062,"Dear @AppleSupport and @115858  when are you planning on fixing your horribly planned iOS that you just HAD to roll out before it was ready. 👉🏻 I  👈🏻would love to be able to use ALL of the letters on my keyboard that I paid $1,000 to use. 

Sincerely-
“Every iPhone owner”",keyboard_input,keyboard_input,escalate,0.4188,0.3749,moderate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@532773 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ,0.7142857142857143,True,True,True,False,True,False,True
gold_063,@AppleSupport Sorry for the delay busy day. I rebooted and Siri is still calling it the 10th of April,apps_services,connectivity_calls,escalate,0.2613,0.3099,moderate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@734398 Thanks! Join us in DM with more details. We're curious if you notice the iPhone behaving slow in certain apps or while performing certain functions. https://t.co/GDrqU22YpT,0.7142857142857143,True,True,True,False,True,False,True
gold_064,@AppleSupport 11.1.1 was the letter “I” now 11.1.2 can’t run anything...please release a new iOS to fix this problem! I’m not the only one too! #shesbrok’,apps_services,software_update,escalate,0.4817,0.2498,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@474337 We'd like to see what you're experiencing. Are you able to capture the blur with a screen recording? https://t.co/iOka2N34Y3,0.8571428571428571,True,True,True,False,True,True,True
