example_id,conversation_id,customer_id,tweet_id,timestamp,customer_text,cleaned_text,next_agent_response,word_count,gold_intent,gold_action,gold_reason,annotator_notes,model_intent,model_reply,model_action,model_reason,split
gold_022,customer_595532,595532,2014030,2017-11-05 11:38:35+00:00,"@115858 purchased your fancy new phone on the first day, and now can’t type the letter “eye” in texts or emails...please fix ASAP!!!!","purchased your fancy new phone on the first day, and now can’t type the letter “eye” in texts or emails...please fix ASAP!!!!",@595532 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,23,,,,,,,,,golden
gold_023,customer_249053,249053,2508168,2017-11-15 21:10:09+00:00,@115858 @AppleSupport I️ want you to fix my I️ phone so I️ can write things with my Installed keyboard that make sense.,I️ want you to fix my I️ phone so I️ can write things with my Installed keyboard that make sense.,"@249053 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",22,,,,,,,,,golden
gold_024,customer_732338,732338,2584338,2017-11-16 23:22:43+00:00,My phone is TRIPPEN! @115858 we about to fight.,My phone is TRIPPEN! we about to fight.,@732338 We'd love to help with your iPhone! Which version of iOS are you currently updated to?  Could you tell us a bit about how it's behaving?,9,,,,,,,,,golden
gold_025,customer_415476,415476,1261297,2017-10-26 13:47:51+00:00,@AppleSupport please fix the lock screen/music bug on iOS 11.0.3,please fix the lock screen/music bug on iOS 11.0.3,@415476 We'd like to help. Which app are you playing music with when this happens? Does this persist after rebooting your device?,10,,,,,,,,,golden
gold_026,customer_416680,416680,2404864,2017-11-14 11:50:24+00:00,Day 70 something of apples terrible freezing IOS11 software and today I can’t even tell the time. #dontbuyapple @AppleSupport @115858 https://t.co/mhIe29ATnH,Day 70 something of apples terrible freezing IOS11 software and today I can’t even tell the time. #dontbuyapple,@416680 We'd like to look into this with you. Could you join us in DM with more info? https://t.co/GDrqU22YpT,21,,,,,,,,,golden
gold_027,customer_509555,509555,1674734,2017-11-06 04:45:31+00:00,Hey @115858 iPhone gurus. Is there ANY way to get rid of this stupid screen when my phone goes sideways? It's absolutely useless. https://t.co/i0tlyj0oGv,Hey iPhone gurus. Is there ANY way to get rid of this stupid screen when my phone goes sideways? It's absolutely useless.,"@509555 Hey there! Do you see the keyboard icon in the bottom right corner? If you select that, you'll have a horizontal keyboard again.",24,,,,,,,,,golden
gold_028,customer_475065,475065,1531340,2017-11-03 15:26:38+00:00,Dose anyone know why my iPhone is doing this? @115858 @AppleSupport https://t.co/aNEmQfHeHQ,Dose anyone know why my iPhone is doing this?,@475065 Help is on the way. Send us a DM to get started. https://t.co/GDrqU22YpT,12,,,,,,,,,golden
gold_029,customer_391772,391772,2284114,2017-11-11 04:56:48+00:00,"@AppleSupport Hello, I need to set up a reminder in my calendar but I’m not able to push the + button. Not sure how to fix it. Thanks https://t.co/u8kmzYjldJ","Hello, I need to set up a reminder in my calendar but I’m not able to push the + button. Not sure how to fix it. Thanks","@391772 Thanks for reaching out about this!  We'd love to help.  Which device is this occurring on?  What iOS version is it running?  Finally, does this persist after you restart it? https://t.co/GDrqU22YpT",29,,,,,,,,,golden
gold_030,customer_729347,729347,2572044,2017-11-16 18:53:35+00:00,@AppleSupport I get duplicated messages from non apple iPhone users. Why?,I get duplicated messages from non apple iPhone users. Why?,"@729347 Does this happen with more than one sender? Which iOS software version are you using? If you restart, does that help? DM us and let us know: https://t.co/GDrqU22YpT",11,,,,,,,,,golden
gold_031,customer_154036,154036,164221,2017-11-24 19:32:41+00:00,Hey @AppleSupport my Messages App crushes every time when I want to open it. I tried everything. I’ve reboot my iPhone 5S and i have the latest iOS. What should i do?,Hey my Messages App crushes every time when I want to open it. I tried everything. I’ve reboot my iPhone 5S and i have the latest iOS. What should i do?,"@154036 Thanks for reaching out to us for support. When you have a free moment, can you please tell us when you first noticed this issue on your device?",32,,,,,,,,,golden
gold_032,customer_701601,701601,2448393,2017-11-15 02:12:49+00:00,@AppleSupport i updated the latest version a few days ago. https://t.co/dgKAnoODU5,i updated the latest version a few days ago.,"@701601 Thanks. Send us a DM, and we’ll take a closer look into this. https://t.co/GDrqU22YpT",11,,,,,,,,,golden
gold_033,customer_654841,654841,2247019,2017-11-25 14:05:02+00:00,@AppleSupport What the heck? Type it and it forces “I.T”. Did your QA team take the last two releases off?,What the heck? Type it and it forces “I.T”. Did your QA team take the last two releases off?,"@654841 We're ready to help you get this sorted. First, let's verify which version of iOS you have installed. You can find this at Settings &gt; General &gt; About. Please let is know what you find in DM. https://t.co/GDrqU22YpT",20,,,,,,,,,golden
gold_034,customer_308116,308116,788866,2017-10-12 14:59:10+00:00,@AppleSupport Yes lt does. Stil there after reboot and hard reset,Yes lt does. Stil there after reboot and hard reset,@308116 Let’s look into this in more detail. Reach out to us in DM and we will help. https://t.co/GDrqU22YpT,11,,,,,,,,,golden
gold_035,customer_547178,547178,1822709,2017-10-15 18:29:37+00:00,#Apple #iOS11 riddled with bugs! What happened @115858 ?? Where’s the quality product loyal customers expected of you??,#Apple #iOS11 riddled with bugs! What happened ?? Where’s the quality product loyal customers expected of you??,@547178 We're here to help. DM us details about the issues you're experiencing with your iOS device and we'll get started. https://t.co/GDrqU22YpT,18,,,,,,,,,golden
gold_036,customer_313803,313803,813306,2017-10-12 20:14:37+00:00,@AppleSupport It is yeah and I can't use it it's just completely stopped working,It is yeah and I can't use it it's just completely stopped working,"@313803 Thanks.  Could you let us know the iPhone, and exact iOS version you are running?  You can see at Settings &gt; General &gt; About.",14,,,,,,,,,golden
gold_037,customer_622451,622451,2109878,2017-11-08 10:58:51+00:00,"Dear @118936 and @AppleSupport , our listeners cannot leave 5-star comments on Itunes for supporting our podcast (Ekipio - podcast). Any idea ?
 #ekipiogate","Dear and , our listeners cannot leave 5-star comments on Itunes for supporting our podcast (Ekipio - podcast). Any idea ? #ekipiogate",@622451 We'd like to take a deeper look into this with you. Go ahead and DM us and we'll be glad to follow up with you there. https://t.co/GDrqU22YpT,24,,,,,,,,,golden
gold_038,customer_431529,431529,1335419,2017-10-16 07:04:32+00:00,I HATE my fucking @115858 iphone! locked out. too many accounts and passwords and passcodes.  Never had to put passed in phone before this 1,I HATE my fucking iphone! locked out. too many accounts and passwords and passcodes. Never had to put passed in phone before this 1,@431529 We'd be happy to look into this with you.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,25,,,,,,,,,golden
gold_039,customer_813131,813131,2943321,2017-11-29 08:28:41+00:00,pop up volume box when we are scrolling down into the list of playing next and can't see the one from the top with the now playing @115858,pop up volume box when we are scrolling down into the list of playing next and can't see the one from the top with the now playing,@813131 Let's see why that volume box is popping up at that time. Which device are you using? Are you pressing the volume buttons while scrolling down your list?,28,,,,,,,,,golden
gold_040,customer_185487,185487,291794,2017-10-06 14:24:14+00:00,@AppleSupport 6S Plus. Same thing happened during betas and I reported it too. I have to restart my phone every time,6S Plus. Same thing happened during betas and I reported it too. I have to restart my phone every time,@185487 Thanks. Does this only seem to happen while in the Clock app or are you noticing it in other apps as well?,21,,,,,,,,,golden
gold_041,customer_542494,542494,1805508,2017-10-15 14:21:59+00:00,Hey @115858 ever since I’ve downloaded iOS 11 my alarms have not gone off several times help,Hey ever since I’ve downloaded iOS 11 my alarms have not gone off several times help,@542494 We're here to help. What is the exact version of iOS 11 that you are running? Find this in Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,17,,,,,,,,,golden
gold_042,customer_672972,672972,2322480,2017-11-13 07:58:35+00:00,"30s of white Apple..... 
@AppleSupport @115858 my 6s turned to a brick, is it a signal for me to change to #iphoneX? https://t.co/QuIGK6LSZB","30s of white Apple..... my 6s turned to a brick, is it a signal for me to change to #iphoneX?",@672972 We can understand wanting your iPhone to turn on so you can actually use it. Let’s start with the troubleshooting listed here: https://t.co/8MvHMFZ83h DM us if you’re still having issues after completing the steps. https://t.co/GDrqU22YpT,23,,,,,,,,,golden
gold_043,customer_524179,524179,2485820,2017-11-15 12:47:43+00:00,"@AppleSupport I’m getting video freezes on my @917 and @126972 videos on my iPhone 7 Plus.  It freezes with audio continuing, then video either catches up or is running behind the audio.  Very frustrating !!","I’m getting video freezes on my and videos on my iPhone 7 Plus. It freezes with audio continuing, then video either catches up or is running behind the audio. Very frustrating !!","@524179 You should be able to play your videos as expected. We're more than happy to help. Does this persist after force quitting the apps, or rebooting the iPhone 7 Plus? Are you connected via Wi-Fi?  Also, what's the version of iOS installed in Settings &gt; General &gt; About?",35,,,,,,,,,golden
gold_044,customer_264962,264962,609760,2017-10-04 03:15:01+00:00,@264963 @264964 @AppleSupport Me vuelve loca. Y quiero mi batería. Y volver al 10 😡,Me vuelve loca. Y quiero mi batería. Y volver al 10 😡,@264962 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,15,,,,,,,,,golden
gold_045,customer_362688,362688,1025600,2017-10-22 23:43:07+00:00,"@AppleSupport hello.
since the last update I can’t connect my Marshall music device to bluetooth. Can you help me? Thanks",hello. since the last update I can’t connect my Marshall music device to bluetooth. Can you help me? Thanks,@362688 We're happy to help. Is the Marshall the only Bluetooth device that can't connect? Have you tried a different device?,20,,,,,,,,,golden
gold_046,customer_249514,249514,554847,2017-12-02 17:49:42+00:00,@AppleSupport #iphoneproblems In the 14/9 store  on my genius bar appt. iphone 6s started freezing and acting wacky. Too soon to upgrade,#iphoneproblems In the 14/9 store on my genius bar appt. iphone 6s started freezing and acting wacky. Too soon to upgrade,@249514 Let's take a look into what's going on with your iPhone. DM us your country to continue. https://t.co/GDrqU22YpT,22,,,,,,,,,golden
gold_047,customer_445396,445396,1399389,2017-10-28 16:38:37+00:00,"@AppleSupport I’m talking about the apps inside app store. Before iOS 11, there was a list of them","I’m talking about the apps inside app store. Before iOS 11, there was a list of them",@445396 Please send us a DM and we can follow up with you there. https://t.co/GDrqU22YpT,18,,,,,,,,,golden
gold_048,customer_573083,573083,1925407,2017-10-27 07:49:22+00:00,@AppleSupport what is this we’ve reserved a phone for you message when is my ship date,what is this we’ve reserved a phone for you message when is my ship date,@573083 We'd be happy to look into this with you. Please DM us more details on where you're receiving this message. We'll help there. https://t.co/GDrqU22YpT,16,,,,,,,,,golden
gold_049,customer_134133,134133,1616808,2017-11-25 05:01:55+00:00,"@AppleSupport @18274 It even has the boxed “E” for explicit... and all they’ve said is that they cannot give me a refund. I don’t want a refund, I want to listen to the song I purchased. https://t.co/CfWeAe63Nv","It even has the boxed “E” for explicit... and all they’ve said is that they cannot give me a refund. I don’t want a refund, I want to listen to the song I purchased.","@134133 We're happy to lend a hand so you can have the correct version of this song on your device. Let's make sure there are no restrictions for explicit content. If you go to Settings &gt; General &gt; Restrictions, is this enabled? Let us know in DM, and we'll continue. https://t.co/GDrqU22YpT",37,,,,,,,,,golden
gold_050,customer_554098,554098,1851129,2017-10-18 22:52:26+00:00,Really need @AppleSupport right now. So bloody confused about my family Apple Music accounts. Need help,Really need right now. So bloody confused about my family Apple Music accounts. Need help,@554098 We know it's important to enjoy your music and understand how Apple Music works. We'd be happy to help out. Let's meet in DM. https://t.co/GDrqU2kzhr,16,,,,,,,,,golden
gold_051,customer_782406,782406,2805151,2017-11-22 02:49:26+00:00,"Mas olha, não aguento mais meu celular vibrando toda vez que atualiza os e-mails em segundo plano, alô @AppleSupport como desativa isso?","Mas olha, não aguento mais meu celular vibrando toda vez que atualiza os e-mails em segundo plano, alô como desativa isso?","@782406 Since our Twitter support is available in English, get help at https://t.co/IBIY3w3RGR or join https://t.co/pvaOFg6Mb1",22,,,,,,,,,golden
gold_052,customer_766035,766035,2732862,2017-11-20 16:18:47+00:00,Can @115858 fix this thing I️ I️ I️ I️ I️ It’s extremely annoying,Can fix this thing I️ I️ I️ I️ I️ It’s extremely annoying,"@766035 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.2. For more info, check out: https://t.co/4f8hwT5to6",13,,,,,,,,,golden
gold_053,customer_313539,313539,812207,2017-10-08 13:35:25+00:00,"Qué onda con este teléfono ?? Se volvió loco. Pone música cuando quiere, se abre Siri, cambia música sola. Etc...@AppleSupport #Iphone7Plus https://t.co/G57OvBodX5","Qué onda con este teléfono ?? Se volvió loco. Pone música cuando quiere, se abre Siri, cambia música sola. Etc... #Iphone7Plus",@313539 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,22,,,,,,,,,golden
gold_054,customer_693537,693537,2412423,2017-11-14 16:45:10+00:00,"@693538 @115858 I️ did buy it!! It won’t download on my phone, computer worked fine. So irritating.","I️ did buy it!! It won’t download on my phone, computer worked fine. So irritating.","@693537 May we take a look?  If so, feel free to let us know what happens when you try to download the music.  For example, do you receive an error message?",17,,,,,,,,,golden
gold_055,customer_668741,668741,2304904,2017-11-12 19:00:01+00:00,Really disappointed with the battery life of the new software update on my iPhone 6 @115858 #ios11,Really disappointed with the battery life of the new software update on my iPhone 6 #ios11,"@668741 We understand that having a long-lasting battery is vital. Please navigate to Settings &gt; General &gt; About , DM us to let us know which version you are using. We’ll go from there. https://t.co/GDrqU22YpT",17,,,,,,,,,golden
gold_056,customer_603495,603495,2041059,2017-11-08 00:20:33+00:00,@AppleSupport I factory rested it rested but it did nothing,I factory rested it rested but it did nothing,@603495 We know how important it is to get your phone up and running. We want to help. DM us what you are currently seeing on your screen. https://t.co/GDrqU22YpT,10,,,,,,,,,golden
gold_057,customer_284600,284600,688912,2017-10-05 20:06:45+00:00,"@AppleSupport hope you will remove the lag from the last update ! 
We can’t even write a text without lagging #appleupdatelag",hope you will remove the lag from the last update ! We can’t even write a text without lagging #appleupdatelag,@284600 We'd like to work with you. Let's continue our conversation in DM. https://t.co/GDrqU22YpT,21,,,,,,,,,golden
gold_058,customer_488290,488290,1587435,2017-11-04 19:01:21+00:00,"Good call on the software update @115858 ....I’m barely able to send this disgruntled tweet because my phone is shot, thanks","Good call on the software update ....I’m barely able to send this disgruntled tweet because my phone is shot, thanks",@488290 Tell us what you're experiencing and we'll work together to find a working solution.,21,,,,,,,,,golden
gold_059,customer_665900,665900,2293066,2017-11-11 20:52:34+00:00,@115858 Bro i can’t even spell “it” like I.T keeps coming up . I txt too fast to check that shit every time,Bro i can’t even spell “it” like I.T keeps coming up . I txt too fast to check that shit every time,@665900 Which device are you experiencing this issue on? Let us know via DM so we can take a closer look. https://t.co/GDrqU22YpT,23,,,,,,,,,golden
gold_060,customer_332464,332464,2555482,2017-11-16 12:44:48+00:00,"Restarted iPhone as was lagging, now I only have 14 photos and videos.... 🧐 @AppleSupport there is a big bug with iso11 where are my 10k + photos and videos??? 😒😒 https://t.co/whj2s8hxpv","Restarted iPhone as was lagging, now I only have 14 photos and videos.... 🧐 there is a big bug with iso11 where are my 10k + photos and videos??? 😒😒",@332464 Thanks for reaching out to us. We are always happy to help. We'd like to look into this issue with you. Send us a DM so we can talk there. https://t.co/GDrqU22YpT,32,,,,,,,,,golden
gold_061,customer_314356,314356,816193,2017-10-12 20:21:50+00:00,"Dear @115858, I ABHOR the iPhone 8. It sucks. 43% by 1:20 pm. That is all. #iphone #apple #iphone8","Dear , I ABHOR the iPhone 8. It sucks. 43% by 1:20 pm. That is all. #iphone #apple #iphone8","@314356 Reach out to us via DM, and we can work together on looking in to this from there. https://t.co/GDrqU22YpT",19,,,,,,,,,golden
gold_062,customer_151818,151818,156014,2017-11-24 17:00:01+00:00,"Dear @AppleSupport and @115858  when are you planning on fixing your horribly planned iOS that you just HAD to roll out before it was ready. 👉🏻 I  👈🏻would love to be able to use ALL of the letters on my keyboard that I paid $1,000 to use. 

Sincerely-
“Every iPhone owner”","Dear and when are you planning on fixing your horribly planned iOS that you just HAD to roll out before it was ready. 👉🏻 I 👈🏻would love to be able to use ALL of the letters on my keyboard that I paid $1,000 to use. Sincerely- “Every iPhone owner”",@151818 We're here to help. Please take a look at the following article for further assistance: https://t.co/xXaXeeSRt9,51,,,,,,,,,golden
gold_063,customer_160191,160191,188331,2017-10-05 00:42:23+00:00,@AppleSupport Sorry for the delay busy day. I rebooted and Siri is still calling it the 10th of April,Sorry for the delay busy day. I rebooted and Siri is still calling it the 10th of April,@160191 We'd like to know more. Send us a DM and we'll continue there. https://t.co/GDrqU22YpT,19,,,,,,,,,golden
gold_064,customer_801393,801393,2890648,2017-11-28 11:16:38+00:00,@AppleSupport 11.1.1 was the letter “I” now 11.1.2 can’t run anything...please release a new iOS to fix this problem! I’m not the only one too! #shesbrok’,11.1.1 was the letter “I” now 11.1.2 can’t run anything...please release a new iOS to fix this problem! I’m not the only one too! #shesbrok’,@801393 We want to help. Can you tell us more about what's going on with your iPhone? Are you unable to open apps?,26,,,,,,,,,golden
gold_065,customer_302951,302951,765461,2017-10-11 21:51:06+00:00,@AppleSupport How do I delete old non-existing #iCloud from my iPad? The pop-up is driving me insane! Password doesnt work. Cant delete it😡,How do I delete old non-existing #iCloud from my iPad? The pop-up is driving me insane! Password doesnt work. Cant delete it😡,@302951 We'd like to help. Send us a DM with more information on your device and issue and we'll get started. https://t.co/GDrqU22YpT,23,,,,,,,,,golden
gold_066,customer_581837,581837,1962066,2017-10-30 23:26:35+00:00,@AppleSupport YOUR UPDATE IS FUCKING UP MY PHONE,YOUR UPDATE IS FUCKING UP MY PHONE,@581837 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.0.3 downloaded? https://t.co/GDrqU22YpT,8,,,,,,,,,golden
gold_067,customer_385123,385123,1124376,2017-10-14 10:41:15+00:00,@385124 @115858 The WiFi constantly turns itself back on too - helpful!,The WiFi constantly turns itself back on too - helpful!,@385123 We'd like to know a bit more to see if we can help. Could you clarify how you're turning off Wi-Fi on your device?,12,,,,,,,,,golden
gold_068,customer_585207,585207,1976165,2017-11-01 17:23:28+00:00,"@115858 Why when I’m ready to press “I” it puts this shit -&gt; I️? Please fix the issue 
- Aggravated customer",Why when I’m ready to press “I” it puts this shit -&gt; I️? Please fix the issue - Aggravated customer,@585207 We are here to help whenever possible. DM which iPhone and specific iOS version you are using currently to get started. https://t.co/GDrqU22YpT,21,,,,,,,,,golden
gold_069,customer_284502,284502,1570324,2017-11-04 11:07:32+00:00,@115858 pls fix the battery life. annoying af,pls fix the battery life. annoying af,@284502 We'd like to look into this with you. What's your current iOS version?,8,,,,,,,,,golden
gold_070,customer_329913,329913,883969,2017-10-20 21:02:35+00:00,"@AppleSupport ok, hope in 10.0.4 ver. Can fix apps stuck or freeze. And volume goes down by itself.","ok, hope in 10.0.4 ver. Can fix apps stuck or freeze. And volume goes down by itself.",@329913 We want to help. Reach out via DM using the link below. https://t.co/GDrqU22YpT,18,,,,,,,,,golden
gold_071,customer_695207,695207,2420089,2017-11-25 22:33:07+00:00,@115858 my phone keeps autocorrecting ‘it’ to I.t and this bug just started with the last night update and hasn’t been fixed with any of the bug fixer ones prior to that ?? None of the autocorrect hacks are working on it pls help,my phone keeps autocorrecting ‘it’ to I.t and this bug just started with the last night update and hasn’t been fixed with any of the bug fixer ones prior to that ?? None of the autocorrect hacks are working on it pls help,@695207 We'd be happy to help. We have some steps you can try for addressing this issue. Meet us in DM and we'll get started. Thanks! https://t.co/GDrqU22YpT,44,,,,,,,,,golden
