example_id,customer_text,gold_intent,model_intent,model_confidence,evidence_level,top_similarity,top_evidence_customer,top_evidence_response,model_reply,historical_grounding,human_evidence_relevant,human_reply_supported_by_evidence,human_notes,automated_evidence_judgment,review_status
gold_035,#Apple #iOS11 riddled with bugs! What happened @115858 ?? Where’s the quality product loyal customers expected of you??,software_update,software_update,0.4673,none,0.0,,,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_038,I HATE my fucking @115858 iphone! locked out. too many accounts and passwords and passcodes.  Never had to put passed in phone before this 1,account_icloud,account_icloud,0.4423,none,0.0,,,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_039,pop up volume box when we are scrolling down into the list of playing next and can't see the one from the top with the now playing @115858,apps_services,hardware_device,0.1632,weak,0.2708,@AppleSupport how do I get to the Now Playing screen of watchOS without installing the Now Playing complication?,@550723 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_043,"@AppleSupport I’m getting video freezes on my @917 and @126972 videos on my iPhone 7 Plus.  It freezes with audio continuing, then video either catches up or is running behind the audio.  Very frustrating !!",apps_services,hardware_device,0.2984,weak,0.2179,@AppleSupport having an issue where Youtube freezes on almost every video. The audio keeps playing but the video freezes and remains freezed even when locked and after like 10 seconds unlock and works again. Tried restarting already. Running iOs 11.1.2 on iPhone 7. Any fixes?,"@710057 We can certainty partner with you to figure this out. Since your iPhone is running the latest iOS version, we also want to make sure YouTube is up-to-date as a first step.",Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_044,@264963 @264964 @AppleSupport Me vuelve loca. Y quiero mi batería. Y volver al 10 😡,software_update,hardware_device,0.4462,weak,0.2505,@681635 @AppleSupport Me too 😂😂😂,"@682691 We'd be happy to look into this. To confirm, you have updated to iOS 11.1.1 but are still experiencing autocorrect issues, correct? Please DM us here: https://t.co/GDrqU22YpT",Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_047,"@AppleSupport I’m talking about the apps inside app store. Before iOS 11, there was a list of them",apps_services,software_update,0.4612,weak,0.2289,@115858 ya see wtf I️m talking about ?? https://t.co/lL4yskgr4Y,@513224 Let's continue within DM here: https://t.co/GDrqU22YpT,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_049,"@AppleSupport @18274 It even has the boxed “E” for explicit... and all they’ve said is that they cannot give me a refund. I don’t want a refund, I want to listen to the song I purchased. https://t.co/CfWeAe63Nv",purchases_billing,purchases_billing,0.9708,weak,0.2024,@AppleSupport your update fucked up my phone. I want a refund😑,@464190 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_050,Really need @AppleSupport right now. So bloody confused about my family Apple Music accounts. Need help,apps_services,account_icloud,0.3519,weak,0.25,@AppleSupport I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ need help.,@516534 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_053,"Qué onda con este teléfono ?? Se volvió loco. Pone música cuando quiere, se abre Siri, cambia música sola. Etc...@AppleSupport #Iphone7Plus https://t.co/G57OvBodX5",hardware_device,hardware_device,0.5716,weak,0.2733,تبًا لل #iOS1112 😡 @AppleSupport #iPhone7Plus #apple https://t.co/c3aDdwsxB5,@769287 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,Yes,No,"AI-assisted draft: some topical similarity, but historical response gives limited direct support.",No,AI-assisted draft — human confirmation required
gold_057,"@AppleSupport hope you will remove the lag from the last update ! 
We can’t even write a text without lagging #appleupdatelag",software_update,software_update,0.4222,weak,0.2188,@AppleSupport I️ hope you are fixing the letter I️. I️ am annoyed.,@518700 We received your DM. Be on the lookout for our response there.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_058,"Good call on the software update @115858 ....I’m barely able to send this disgruntled tweet because my phone is shot, thanks",software_update,software_update,0.5834,weak,0.2273,@AppleSupport 11.0.2 is the software update I have,@304388 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_059,@115858 Bro i can’t even spell “it” like I.T keeps coming up . I txt too fast to check that shit every time,keyboard_input,hardware_device,0.1557,weak,0.2843,@115858 I’m so annoyed I can’t even spell in*,"@669379 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_060,"Restarted iPhone as was lagging, now I only have 14 photos and videos.... 🧐 @AppleSupport there is a big bug with iso11 where are my 10k + photos and videos??? 😒😒 https://t.co/whj2s8hxpv",apps_services,apps_services,0.5068,weak,0.297,@AppleSupport I updated my phone and now all my photos and videos have warning sign,@411966 Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,Yes,No,"AI-assisted draft: some topical similarity, but historical response gives limited direct support.",No,AI-assisted draft — human confirmation required
gold_061,"Dear @115858, I ABHOR the iPhone 8. It sucks. 43% by 1:20 pm. That is all. #iphone #apple #iphone8",battery_charging,software_update,0.1708,none,0.0,,,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_064,@AppleSupport 11.1.1 was the letter “I” now 11.1.2 can’t run anything...please release a new iOS to fix this problem! I’m not the only one too! #shesbrok’,apps_services,software_update,0.4817,weak,0.2498,@115858 I'm not the only one. https://t.co/lm3ALscoF2,@474337 We'd like to see what you're experiencing. Are you able to capture the blur with a screen recording? https://t.co/iOka2N34Y3,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_065,@AppleSupport How do I delete old non-existing #iCloud from my iPad? The pop-up is driving me insane! Password doesnt work. Cant delete it😡,account_icloud,account_icloud,0.9013,weak,0.2813,@AppleSupport TAHT DOESNT WORK,@468638 We'd be happy to look into this with you. DM us and we'll go from there. https://t.co/GDrqU22YpT,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,Yes,No,"AI-assisted draft: some topical similarity, but historical response gives limited direct support.",No,AI-assisted draft — human confirmation required
gold_071,@115858 my phone keeps autocorrecting ‘it’ to I.t and this bug just started with the last night update and hasn’t been fixed with any of the bug fixer ones prior to that ?? None of the autocorrect hacks are working on it pls help,keyboard_input,keyboard_input,0.743,none,0.0,,,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_076,"@AppleSupport I received an email about a subscription email that I haven't purchased. The email address and email its self seems strange, so I don't want to click anything on it. Is there a way you can help me?",account_icloud,purchases_billing,0.7669,weak,0.2796,"Hi @AppleSupport, I received an email.. email address is: __email__ i'm 100% assured it's a pishing email... Where can i report this? https://t.co/1QXmtKPv3b",@512509 We've got you covered. You can use this link here to report phishing emails: https://t.co/LNMCdqt6fD,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_077,"@AppleSupport on my phone, in Safari, it doesn’t want to let me copy, paste or search into the address bar at the top. Help!",apps_services,hardware_device,0.2191,weak,0.2358,@AppleSupport what’s the deal with the white bar at the top of my screen? https://t.co/395oSDn15r,@712214 Thanks for reaching out. May we ask if you're seeing this in all apps or only a specific number of apps?,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_078,"Dear @115858, the battery on the iPhone 6 sucks.
That is all.",battery_charging,battery_charging,0.8884,weak,0.2698,@AppleSupport the glass my iPhone 8 sucks. Already shattered. 😥🙄🙃,"@257965 We’re sorry to hear about your iPhone. We’ll be happy to partner with you, and share all of the options available to get it serviced. Join us in DM using this link to start: https://t.co/GDrqU22YpT",Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,Yes,No,"AI-assisted draft: some topical similarity, but historical response gives limited direct support.",No,AI-assisted draft — human confirmation required
gold_079,@115858 iOS 11 sucks. Literally sucks the life out of my battery. You would think you would get this by now. #stevejobsisrollinginhisgrave,battery_charging,battery_charging,0.5224,weak,0.2602,Trust @115858 to suck the life out of my battery after this new update 😒,@677366 Having reliable battery life is important! Let us know which device you’re using and your software version in DM. We’ll take a closer look at this with you there. https://t.co/GDrqU22YpT,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,Yes,No,"AI-assisted draft: some topical similarity, but historical response gives limited direct support.",No,AI-assisted draft — human confirmation required
gold_082,"@AppleSupport Hi. If I sign out from my Apple ID on my iPhone, would I loose any data?",account_icloud,account_icloud,0.9015,weak,0.2154,@AppleSupport how can I transfer my bank details from my old Apple ID on to my new Apple ID?,"@260535 That's a great question! To make sure we provide the best support, are you looking to add your card details for iTunes and App Store purchases? If so, the steps for adding payment information can be found here: https://t.co/Y0YoIRcZa7",Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_084,"""The mail password is incorrect"" no it isn't @115858 I changed it... you're just having a problem keeping up FS! #iPhone",apps_services,account_icloud,0.484,weak,0.2025,Sooo you’re just not gonna fix this “I.T” problem huh @115858,"@238859 We're happy to look at this with you. Meet us in DM with some details. Tell us if you've done any troubleshooting for this, and we'll go from there. https://t.co/GDrqU22YpT",Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_090,"@AppleSupport iOS 11 Apple Music is supposed to notify about new music releases, but I'm still not getting any. How to enable this? https://t.co/7aUQ6kHY2F",apps_services,software_update,0.4361,weak,0.2044,Hey @115858. Fix your iOS. Bluetooth is supposed to work.,@575292 We want to assist you with any Bluetooth issues you're experiencing. Please meet us in DM so we can help you out! https://t.co/GDrqU22YpT,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_092,"Tendrá solución su #IOS 11.0.3 @115858 ??? No solo los problemas en batería también en aplicaciones, nulas notificaciones, se pasman... mala decisión de actualizarlo 🙎🏻",software_update,software_update,0.7746,weak,0.2746,El soporte de @AppleSupport tras los problemas de batería de IOS 11 no puede ser más lamentable.,@347786 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,Yes,No,"AI-assisted draft: some topical similarity, but historical response gives limited direct support.",No,AI-assisted draft — human confirmation required
gold_095,"@AppleSupport My Mac is second hand so the update available was Lion, but that doesn’t explain why my emails won’t allow me in even though I know the passwords are right??",account_icloud,software_update,0.3074,weak,0.2571,@AppleSupport Thanks. …but that doesn’t explain why I don’t see the Apple Pay in messages feature.,@781757 That feature hasn't been released in our public iOS versions yet.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_097,Anyone else’s iPhone suddenly autocorrecting “it” to “I.T”?? #AskingForAFriend #AskingForMyself @AppleSupport,keyboard_input,keyboard_input,0.7934,weak,0.2544,All these @115858 updates and my phone autocorrecting it to I_T_ still isn’t fixed 🙄,@461644 We want to help today! Which version of iOS shows installed at Settings &gt; General &gt; About?,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,Yes,No,"AI-assisted draft: some topical similarity, but historical response gives limited direct support.",No,AI-assisted draft — human confirmation required
gold_104,@AppleSupport I’ve been charged almost £200 for a subscription renual for an app I did not authorise... I’ve had to call my bank and stop further payments! Can you contact me immediately!!! - Paige. https://t.co/laokhdu1J5,purchases_billing,purchases_billing,0.8589,weak,0.2387,@AppleSupport hi I need help. I've been charged for an app purchase even though I cancelled the subscription to do a different package help!,"@286322 Thanks for reaching out! For this issue, reach out to our awesome iTunes Advisors by phone or chat here: https://t.co/SDIe7UiyJN",Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_105,@115858 really forcing people to upgrade. Y’all did two updates and it’s still got my phone running shitty,software_update,software_update,0.8318,weak,0.2283,The new iPhone update got my phone running so slow @AppleSupport,"@201326 Thanks for reaching out, and we'd like to help. What's the exact iOS version on your iPhone? Check here: Settings &gt; General &gt; About.",Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_108,"Updated to iOS11 and since then all the videos I stream are looping. Doesn't matter which browser I use. Did a clear cache on Safari etc no luck.
Apple Support - Please enter this as a bug and get it fixed asap! Disappoint @AppleSupport",apps_services,software_update,0.5627,none,0.0,,,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_109,I mean @115858 I was going to get a new iPhone eventually anyway but holy shit why you gotta KILL my iPhone 6plus wi this update?! 😔😔😔,software_update,software_update,0.5861,weak,0.2267,You gotta type it as “i” so that “I️” doesn’t happen... stupid @115858 why you gotta make typing “i” so complicating now?!,"@784328 We've got a solution for that. Which version of iOS are you using? You can check at Settings &gt; General &gt; About. If you aren't on iOS 11.1.1, backup with these steps: https://t.co/4f8hwT5to6, then update and let us know in DM if that still happens. https://t.co/GDrqU22YpT",Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_111,@AppleSupport This for starters. Add random freezes and the screen turns off. Then it reboots. It’s a 2014 13”. I have installed Sierra on it now. https://t.co/i4oaLE8aA4,software_update,hardware_device,0.7576,none,0.0,,,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_112,@AppleSupport I keep getting a “try another Apple ID” error when trying to login after restoring my phone to factory resets. I’m sure it is correct though. Can you help me with this?,account_icloud,account_icloud,0.598,weak,0.2304,@AppleSupport Can you help with this?,"@356797 Yes, we can. Can you tell us which iOS version you are currently using please?",Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_114,"@AppleSupport @115858 I picked up my new leather folio from #AppleStoreRidgedale this week and this is what the logo looks like inside☹️ #Crooked I would return it, but the nearest #AppleStore is 150 miles away. For $99 I would expect a little more... #Disappointed https://t.co/MmMXoS1XfP",hardware_device,hardware_device,0.2682,weak,0.2402,"@AppleSupport I’ve had my iPhone X leather folio case for 3 weeks and it is already falling apart. For £99 I expect much better build quality, especially from an Apple product. https://t.co/Oxw5FuL0c6",@429704 Let's look into this together. Please DM us with details about where you purchased the case and we will go from there. https://t.co/GDrqU22YpT,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_115,@AppleSupport Do it again I️ didn’t get it,keyboard_input,hardware_device,0.5521,weak,0.2727,@AppleSupport How can I do it?,@550404 Sorry for any confusion! What is the exact iOS version running on your iPhone? Send us a DM by clicking on the link below: https://t.co/GDrqU22YpT,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_119,Don’t like how the battery drains on my #iPhone7Plus after the #ios11update Do something about it @AppleSupport,battery_charging,battery_charging,0.9014,weak,0.2772,@AppleSupport.. battery performance has degraded after #ios11update .. either take us back to ios 10 or do something about it..😡😡,@754101 Thanks for reaching out. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,Yes,No,"AI-assisted draft: some topical similarity, but historical response gives limited direct support.",No,AI-assisted draft — human confirmation required
gold_121,@610676 @115858 My 6S Plus has been terrible since I installed. Choppy. Buggy. Terrible battery life.,software_update,battery_charging,0.9552,weak,0.2991,iOS 11 has been horrible for me. Battery life has been terrible. Even after 11.1. 🤦🏽‍♂️🤦🏽‍♂️ Help @AppleSupport,"@453719 We want you to enjoy the update. We'll help with the battery life. First, try the suggestions here:: https://t.co/bivpdfBNJ6",Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_128,"@AppleSupport It freezes often, probably 5 or 6 times a day",hardware_device,hardware_device,0.6024,weak,0.2711,@AppleSupport It’s a 7+,@310164 We'd be happy to look into this with you! Please DM your location so we know what your support options are. https://t.co/GDrqU22YpT,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,Yes,No,"AI-assisted draft: some topical similarity, but historical response gives limited direct support.",No,AI-assisted draft — human confirmation required
gold_129,2 hours of my life online with @115858 and I still have a broken phone #neverusetheonlinechat,repair_support,battery_charging,0.3104,weak,0.2327,Mac High Sierra OS upgrade. Five hours of my life I won't get again.... @115858 @AppleSupport 😠 https://t.co/HjzcHEk9QU,"@767535 We're here for you. Send us a DM, and we'll take a closer look at your Mac together there. https://t.co/GDrqU22YpT",Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_132,Can I sue @115858 for making my battery die with their updates... I mean why don’t you care about us?? 😂,battery_charging,battery_charging,0.6062,weak,0.2648,Thanks @115858 for making my phone practically useless. #iOShite,@615764 Send over some more details about what's happening with your iPhone. We'll be happy to work through the issues you're seeing. https://t.co/GDrqU22YpT,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,Yes,No,"AI-assisted draft: some topical similarity, but historical response gives limited direct support.",No,AI-assisted draft — human confirmation required
