example_id,tweet_id,customer_text,gold_intent,model_intent,model_confidence,evidence_level,top_similarity,top_evidence_customer,top_evidence_response,model_action,model_reply,evidence_exists,overlap_ratio,intent_keyword_matches,intent_grounded,historical_grounding,strong_evidence_candidate,review_priority
gold_013,1404826,iOS 11 has destroyed the speed and battery life on my iPhone 6 and 5s. This sucks big time! @115858 @AppleSupport,battery_charging,battery_charging,0.9049,moderate,0.3354,@AppleSupport iOS 11 has destroyed my phone,@349954 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.2222,battery,1,1,0,medium
gold_014,2398066,@115858 y’all can put that entire trash ass U2 album on my phone against my will but y’all can’t fix this I* glitch immediately ??,keyboard_input,hardware_device,0.1908,strong,1.0,@115858 y’all can put that entire trash ass U2 album on my phone against my will but y’all can’t fix this I* glitch immediately ??,"@237300 We recently released iOS 11.1.1 to address this issue. If you haven't had the opportunity, let's update following the steps here: https://t.co/8xihd9VRBM Please DM us if the issue continues after updating. https://t.co/GDrqU22YpT",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,phone,1,1,1,low
gold_015,2362993,"@AppleSupport No, still has same problem after I swiped application off and restart. iOS 11.1.1 the latest update. Problem is on and off, sometimes works, sometimes doesn’t. https://t.co/0waBSCRpmW",software_update,software_update,0.9052,strong,1.0,"@AppleSupport No, still has same problem after I swiped application off and restart. iOS 11.1.1 the latest update. Problem is on and off, sometimes works, sometimes doesn’t. https://t.co/0waBSCRpmW",@682279 DM us using the link below. We'll work together from there. https://t.co/GDrqU22YpT,auto_handle,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,1,1.0,"update, ios",1,1,1,low
gold_016,898671,@115858 me estáis valiando o q ?? entre q el ios11 gasta más batería q yo q sé y q no lo arregláis.. estamos apañados 😡😐 cracks,battery_charging,software_update,0.5977,weak,0.235,"@176769 @AppleSupport Lo odio... se acaba mi batería rapidísimo, se traba!!! No me gusto nada",@269675 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.0909,"ios, ios11",1,0,0,high
gold_017,489673,"Help me Apple!!!!!  

Every time I go onto a app the app crashes is there anyway to fix this? @AppleSupport",apps_services,hardware_device,0.4731,strong,1.0,Help me Apple!!!!! Every time I go onto a app the app crashes is there anyway to fix this? @AppleSupport,"@231625 We'd love to help. Can you DM us your complete software version from Settings &gt; General &gt; About, next to version? https://t.co/GDrqU22YpT",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,,0,1,1,low
gold_018,1623351,@115858 fix my fucking phone bro i updated it to the latest software &amp; its still tweakin,software_update,software_update,0.7564,strong,1.0,@115858 fix my fucking phone bro i updated it to the latest software &amp; its still tweakin,@497274 We'd love to help! This article goes over a workaround for this issue: https://t.co/xXaXeeSRt9,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"update, software",1,1,1,low
gold_019,291822,@AppleSupport I did restart after I sent this and it fixed it. Will inform Apple if I have the problem again. Thank you.,other,hardware_device,0.5247,weak,0.2566,"@AppleSupport Thank you, it's fixed",@725022 We are happy to hear it's fixed. Please feel free to reach out if you need us in the future.,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.2727,,0,0,0,high
gold_020,257732,@AppleSupport Being told my iCloud storage may be downgraded but card payment processing is temporarily down and I can’t re-confirm my card.,purchases_billing,account_icloud,0.7747,weak,0.2294,@AppleSupport why can't I use my card to buy more iCloud storage on my card when I'm on family sharing? Am I missing something??,"@585429 On Family Sharing, what you buy is charged to the organizer's card, unless you have store credit. More here: https://t.co/dmLzCj6kTP",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.3077,"apple, icloud, storage",1,0,0,high
gold_021,2398045,"What the hell is wrong with iPhone batteries now?! Unplugged it at 6.00, 45 minutes later I pick it up and battery is 65%. Haven’t even used it! Is this @115858 ‘s way of getting me to buy an X?",battery_charging,battery_charging,0.5344,weak,0.2803,What the hell is wrong with iOS 11.1.1 @AppleSupport https://t.co/HG1JYlzwPs,@646732 That's an unexpected behavior. Let's dive into this issue together. Send us a DM and we'll get started. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.1333,battery,1,0,0,high
gold_022,2014030,"@115858 purchased your fancy new phone on the first day, and now can’t type the letter “eye” in texts or emails...please fix ASAP!!!!",keyboard_input,purchases_billing,0.587,moderate,0.3124,@AppleSupport I️ can’t type the letter “I️”.,@464524 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.2308,purchase,1,1,0,medium
gold_023,2508168,@115858 @AppleSupport I️ want you to fix my I️ phone so I️ can write things with my Installed keyboard that make sense.,keyboard_input,keyboard_input,0.6399,strong,1.0,@115858 @AppleSupport I️ want you to fix my I️ phone so I️ can write things with my Installed keyboard that make sense.,"@249053 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,keyboard,1,1,1,low
gold_024,2584338,My phone is TRIPPEN! @115858 we about to fight.,other,software_update,0.187,moderate,0.4055,@299769 @115858 My contacts gone too‼️‼️‼️ I'm ready to fight wtf,"@299768 We'd like to understand more about this. DM us which country you're in, and we'll take a look. https://t.co/GDrqU22YpT",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.4,,0,1,0,medium
gold_025,1261297,@AppleSupport please fix the lock screen/music bug on iOS 11.0.3,apps_services,hardware_device,0.5476,strong,1.0,@AppleSupport please fix the lock screen/music bug on iOS 11.0.3,@415476 We'd like to help. Which app are you playing music with when this happens? Does this persist after rebooting your device?,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,screen,1,1,1,low
gold_026,2404864,Day 70 something of apples terrible freezing IOS11 software and today I can’t even tell the time. #dontbuyapple @AppleSupport @115858 https://t.co/mhIe29ATnH,software_update,software_update,0.5272,strong,1.0,Day 70 something of apples terrible freezing IOS11 software and today I can’t even tell the time. #dontbuyapple @AppleSupport @115858 https://t.co/mhIe29ATnH,@416680 We'd like to look into this with you. Could you join us in DM with more info? https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"software, ios, ios11",1,1,1,low
gold_027,1674734,Hey @115858 iPhone gurus. Is there ANY way to get rid of this stupid screen when my phone goes sideways? It's absolutely useless. https://t.co/i0tlyj0oGv,keyboard_input,hardware_device,0.2471,strong,1.0,Hey @115858 iPhone gurus. Is there ANY way to get rid of this stupid screen when my phone goes sideways? It's absolutely useless. https://t.co/i0tlyj0oGv,"@509555 Hey there! Do you see the keyboard icon in the bottom right corner? If you select that, you'll have a horizontal keyboard again.",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"iphone, screen, phone",1,1,1,low
gold_028,1531340,Dose anyone know why my iPhone is doing this? @115858 @AppleSupport https://t.co/aNEmQfHeHQ,hardware_device,hardware_device,0.5558,strong,1.0,Dose anyone know why my iPhone is doing this? @115858 @AppleSupport https://t.co/aNEmQfHeHQ,@475065 Help is on the way. Send us a DM to get started. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"iphone, phone",1,1,1,low
gold_029,2284114,"@AppleSupport Hello, I need to set up a reminder in my calendar but I’m not able to push the + button. Not sure how to fix it. Thanks https://t.co/u8kmzYjldJ",apps_services,hardware_device,0.4822,moderate,0.3018,@AppleSupport hello I need help,@488463 We've got your DM and will continue with you there. Be on the lookout for our reply. Thanks!,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.2727,button,1,1,0,medium
gold_030,2572044,@AppleSupport I get duplicated messages from non apple iPhone users. Why?,messaging,messaging,0.9053,weak,0.2416,@AppleSupport Messages from other people.,@293275 OK. This means that they have not updated their phones to the most recent version of iOS.,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.5,"messages, message",1,0,0,high
gold_031,164221,Hey @AppleSupport my Messages App crushes every time when I want to open it. I tried everything. I’ve reboot my iPhone 5S and i have the latest iOS. What should i do?,messaging,messaging,0.7953,weak,0.2726,@AppleSupport What should I do?,"@186353 No worries, we've got your back. Please DM us and we'll continue to assist you from there. https://t.co/GDrqU22YpT",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.125,"messages, message",1,0,0,high
gold_032,2448393,@AppleSupport i updated the latest version a few days ago. https://t.co/dgKAnoODU5,software_update,software_update,0.6709,strong,1.0,@AppleSupport i updated the latest version a few days ago. https://t.co/dgKAnoODU5,"@701601 Thanks. Send us a DM, and we’ll take a closer look into this. https://t.co/GDrqU22YpT",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"version, update",1,1,1,low
gold_033,2247019,@AppleSupport What the heck? Type it and it forces “I.T”. Did your QA team take the last two releases off?,keyboard_input,hardware_device,0.3229,moderate,0.3157,@AppleSupport what the heck?! https://t.co/EyfN4546O5,@592755 Thanks for contacting us today. Check out our article here: https://t.co/xU1AGHStV6 DM us any other questions. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.2,,0,1,0,medium
gold_034,788866,@AppleSupport Yes lt does. Stil there after reboot and hard reset,other,hardware_device,0.5118,weak,0.2563,@AppleSupport Yes,@212459 Have you tried a second charging cable or power block? That'll help us isolate this down even further.,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.125,,0,0,0,high
gold_035,1822709,#Apple #iOS11 riddled with bugs! What happened @115858 ?? Where’s the quality product loyal customers expected of you??,software_update,software_update,0.4673,none,0.0,,,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.0,"ios, ios11",1,0,0,high
gold_036,813306,@AppleSupport It is yeah and I can't use it it's just completely stopped working,hardware_device,hardware_device,0.4551,strong,1.0,@AppleSupport It is yeah and I can't use it it's just completely stopped working,"@313803 Thanks. Could you let us know the iPhone, and exact iOS version you are running? You can see at Settings &gt; General &gt; About.",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,,0,1,1,low
gold_037,2109878,"Dear @118936 and @AppleSupport , our listeners cannot leave 5-star comments on Itunes for supporting our podcast (Ekipio - podcast). Any idea ?
 #ekipiogate",purchases_billing,hardware_device,0.3086,strong,1.0,"Dear @118936 and @AppleSupport , our listeners cannot leave 5-star comments on Itunes for supporting our podcast (Ekipio - podcast). Any idea ? #ekipiogate",@622451 We'd like to take a deeper look into this with you. Go ahead and DM us and we'll be glad to follow up with you there. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,,0,1,1,low
gold_038,1335419,I HATE my fucking @115858 iphone! locked out. too many accounts and passwords and passcodes.  Never had to put passed in phone before this 1,account_icloud,account_icloud,0.4423,none,0.0,,,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.0,"account, password",1,0,0,high
gold_039,2943321,pop up volume box when we are scrolling down into the list of playing next and can't see the one from the top with the now playing @115858,apps_services,hardware_device,0.1632,weak,0.2708,@AppleSupport how do I get to the Now Playing screen of watchOS without installing the Now Playing complication?,@550723 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.0909,,0,0,0,high
gold_040,291794,@AppleSupport 6S Plus. Same thing happened during betas and I reported it too. I have to restart my phone every time,apps_services,hardware_device,0.5104,strong,1.0,@AppleSupport 6S Plus. Same thing happened during betas and I reported it too. I have to restart my phone every time,@185487 Thanks. Does this only seem to happen while in the Clock app or are you noticing it in other apps as well?,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,phone,1,1,1,low
gold_041,1805508,Hey @115858 ever since I’ve downloaded iOS 11 my alarms have not gone off several times help,apps_services,software_update,0.7936,moderate,0.3829,@AppleSupport ever since I’ve downloaded IOS 11 on my iPhone 7 my phone has gone down hill with connection,@613156 We're here to help with any issues you maybe having. Provide a description of the issue to us in a DM using this link: https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.4545,ios,1,1,0,medium
gold_042,2322480,"30s of white Apple..... 
@AppleSupport @115858 my 6s turned to a brick, is it a signal for me to change to #iphoneX? https://t.co/QuIGK6LSZB",hardware_device,connectivity_calls,0.1795,strong,1.0,"30s of white Apple..... @AppleSupport @115858 my 6s turned to a brick, is it a signal for me to change to #iphoneX? https://t.co/QuIGK6LSZB",@672972 We can understand wanting your iPhone to turn on so you can actually use it. Let’s start with the troubleshooting listed here: https://t.co/8MvHMFZ83h DM us if you’re still having issues after completing the steps. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,signal,1,1,1,low
gold_043,2485820,"@AppleSupport I’m getting video freezes on my @917 and @126972 videos on my iPhone 7 Plus.  It freezes with audio continuing, then video either catches up or is running behind the audio.  Very frustrating !!",apps_services,hardware_device,0.2984,weak,0.2179,@AppleSupport having an issue where Youtube freezes on almost every video. The audio keeps playing but the video freezes and remains freezed even when locked and after like 10 seconds unlock and works again. Tried restarting already. Running iOs 11.1.2 on iPhone 7. Any fixes?,"@710057 We can certainty partner with you to figure this out. Since your iPhone is running the latest iOS version, we also want to make sure YouTube is up-to-date as a first step.",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.3333,"iphone, phone",1,0,0,high
gold_044,609760,@264963 @264964 @AppleSupport Me vuelve loca. Y quiero mi batería. Y volver al 10 😡,software_update,hardware_device,0.4462,weak,0.2505,@681635 @AppleSupport Me too 😂😂😂,"@682691 We'd be happy to look into this. To confirm, you have updated to iOS 11.1.1 but are still experiencing autocorrect issues, correct? Please DM us here: https://t.co/GDrqU22YpT",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.125,,0,0,0,high
gold_045,1025600,"@AppleSupport hello.
since the last update I can’t connect my Marshall music device to bluetooth. Can you help me? Thanks",connectivity_calls,connectivity_calls,0.4117,moderate,0.3484,@AppleSupport hello can you help me please!,"@703147 Of course, how can we help you?",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.2308,bluetooth,1,1,0,medium
gold_046,554847,@AppleSupport #iphoneproblems In the 14/9 store  on my genius bar appt. iphone 6s started freezing and acting wacky. Too soon to upgrade,hardware_device,repair_support,0.9288,strong,1.0,@AppleSupport #iphoneproblems In the 14/9 store on my genius bar appt. iphone 6s started freezing and acting wacky. Too soon to upgrade,@249514 Let's take a look into what's going on with your iPhone. DM us your country to continue. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"support, store",1,1,1,low
gold_047,1399389,"@AppleSupport I’m talking about the apps inside app store. Before iOS 11, there was a list of them",apps_services,software_update,0.4612,weak,0.2289,@115858 ya see wtf I️m talking about ?? https://t.co/lL4yskgr4Y,@513224 Let's continue within DM here: https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.2,ios,1,0,0,high
gold_048,1925407,@AppleSupport what is this we’ve reserved a phone for you message when is my ship date,purchases_billing,messaging,0.5792,strong,1.0,@AppleSupport what is this we’ve reserved a phone for you message when is my ship date,@573083 We'd be happy to look into this with you. Please DM us more details on where you're receiving this message. We'll help there. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,message,1,1,1,low
gold_049,1616808,"@AppleSupport @18274 It even has the boxed “E” for explicit... and all they’ve said is that they cannot give me a refund. I don’t want a refund, I want to listen to the song I purchased. https://t.co/CfWeAe63Nv",purchases_billing,purchases_billing,0.9708,weak,0.2024,@AppleSupport your update fucked up my phone. I want a refund😑,@464190 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.1176,"refund, purchase",1,0,0,high
gold_050,1851129,Really need @AppleSupport right now. So bloody confused about my family Apple Music accounts. Need help,apps_services,account_icloud,0.3519,weak,0.25,@AppleSupport I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ need help.,@516534 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.2727,"apple, account",1,0,0,high
gold_051,2805151,"Mas olha, não aguento mais meu celular vibrando toda vez que atualiza os e-mails em segundo plano, alô @AppleSupport como desativa isso?",apps_services,hardware_device,0.5124,strong,1.0,"Mas olha, não aguento mais meu celular vibrando toda vez que atualiza os e-mails em segundo plano, alô @AppleSupport como desativa isso?","@782406 Since our Twitter support is available in English, get help at https://t.co/IBIY3w3RGR or join https://t.co/pvaOFg6Mb1",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,,0,1,1,low
gold_052,2732862,Can @115858 fix this thing I️ I️ I️ I️ I️ It’s extremely annoying,keyboard_input,hardware_device,0.2967,moderate,0.3787,@applesupport please fix this I️ thing it’s literally a nightmare,@467503 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.4,,0,1,0,medium
gold_053,812207,"Qué onda con este teléfono ?? Se volvió loco. Pone música cuando quiere, se abre Siri, cambia música sola. Etc...@AppleSupport #Iphone7Plus https://t.co/G57OvBodX5",hardware_device,hardware_device,0.5716,weak,0.2733,تبًا لل #iOS1112 😡 @AppleSupport #iPhone7Plus #apple https://t.co/c3aDdwsxB5,@769287 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.0625,"iphone, phone",1,0,0,high
gold_054,2412423,"@693538 @115858 I️ did buy it!! It won’t download on my phone, computer worked fine. So irritating.",purchases_billing,hardware_device,0.1833,moderate,0.3371,"@AppleSupport the iOS 11.0.3 won’t download on my phone now, i’m continually pressing retry and it won’t download. now what?",@554294 check out the steps in this article for things to try when you're having issues updating: https://t.co/Ui1yTo6dM7,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.3333,phone,1,1,0,medium
